TMC,County,District
110+04121,FAIRFAX,Northern Virginia
110+04122,FAIRFAX,Northern Virginia
110+04123,ALEXANDRIA (CITY),Northern Virginia
110+04124,ALEXANDRIA (CITY),Northern Virginia
110+04125,ARLINGTON,Northern Virginia
110+04126,ARLINGTON,Northern Virginia
110+04127,ARLINGTON,Northern Virginia
110+04128,ARLINGTON,Northern Virginia
110+04129,ARLINGTON,Northern Virginia
110+04130,ARLINGTON,Northern Virginia
110+04143,STAFFORD,Fredericksburg
110+04144,STAFFORD,Fredericksburg
110+04145,STAFFORD,Fredericksburg
110+04146,STAFFORD,Fredericksburg
110+04147,PRINCE WILLIAM,Northern Virginia
110+04148,PRINCE WILLIAM,Northern Virginia
110+04149,PRINCE WILLIAM,Northern Virginia
110+04150,PRINCE WILLIAM,Northern Virginia
110+04151,PRINCE WILLIAM,Northern Virginia
110+04152,PRINCE WILLIAM,Northern Virginia
110+04153,FAIRFAX,Northern Virginia
110+04154,FAIRFAX,Northern Virginia
110+04155,FAIRFAX,Northern Virginia
110+04156,FAIRFAX,Northern Virginia
110+04157,FAIRFAX,Northern Virginia
110+04158,FAIRFAX,Northern Virginia
110+04159,FAIRFAX,Northern Virginia
110+04163,ARLINGTON,Northern Virginia
110+04164,ARLINGTON,Northern Virginia
110+04165,ARLINGTON,Northern Virginia
110+04166,ARLINGTON,Northern Virginia
110+04167,ARLINGTON,Northern Virginia
110+04168,ARLINGTON,Northern Virginia
110+04169,ARLINGTON,Northern Virginia
110+04170,ARLINGTON,Northern Virginia
110+04172,ARLINGTON,Northern Virginia
110+04173,FAIRFAX,Northern Virginia
110+04174,FAIRFAX,Northern Virginia
110+04175,FAIRFAX,Northern Virginia
110+04176,FAIRFAX,Northern Virginia
110+04177,FAIRFAX,Northern Virginia
110+04178,FAIRFAX,Northern Virginia
110+04179,FAIRFAX,Northern Virginia
110+04180,FAIRFAX,Northern Virginia
110+04181,FAIRFAX,Northern Virginia
110+04182,FAIRFAX,Northern Virginia
110+04183,FAIRFAX,Northern Virginia
110+04184,FAIRFAX,Northern Virginia
110+04185,PRINCE WILLIAM,Northern Virginia
110+04186,PRINCE WILLIAM,Northern Virginia
110+04187,PRINCE WILLIAM,Northern Virginia
110+04188,FAUQUIER,Culpeper
110+04189,FAUQUIER,Culpeper
110+04190,FAUQUIER,Culpeper
110+04191,FAUQUIER,Culpeper
110+04192,FAUQUIER,Culpeper
110+04193,FAUQUIER,Culpeper
110+04194,FAUQUIER,Culpeper
110+04603,FAIRFAX,Northern Virginia
110+04604,FAIRFAX,Northern Virginia
110+04605,FAIRFAX,Northern Virginia
110+04606,FAIRFAX,Northern Virginia
110+04607,FAIRFAX,Northern Virginia
110+04608,FAIRFAX,Northern Virginia
110+04609,FAIRFAX,Northern Virginia
110+04610,FAIRFAX,Northern Virginia
110+04611,FAIRFAX,Northern Virginia
110+04612,FAIRFAX,Northern Virginia
110+04613,FAIRFAX,Northern Virginia
110+04614,FAIRFAX,Northern Virginia
110+04645,ALEXANDRIA (CITY),Northern Virginia
110+04646,FAIRFAX,Northern Virginia
110+04647,FAIRFAX,Northern Virginia
110+04648,FAIRFAX,Northern Virginia
110+04670,ARLINGTON,Northern Virginia
110+04681,FREDERICK,Staunton
110+04682,FREDERICK,Staunton
110+04683,FREDERICK,Staunton
110+04684,FREDERICK,Staunton
110+04686,CHESAPEAKE (CITY),Hampton Roads
110+04687,PORTSMOUTH (CITY),Hampton Roads
