TMC,AREATYPE
110+04847,Urbanized
110P04847,Urbanized
110+04848,Urbanized
110P04848,Urbanized
110+04849,Urbanized
110P04849,Urbanized
110+04850,Urbanized
110P04850,Urbanized
110+04851,Urbanized
110P04851,Urbanized
110+04852,Urbanized
110P04852,Urbanized
110N04852,Urbanized
110-04851,Urbanized
110N04851,Urbanized
110-04850,Urbanized
110N04850,Urbanized
110-04849,Urbanized
110N04849,Urbanized
110-04848,Urbanized
110N04848,Urbanized
110-04847,Urbanized
110-04846,Urbanized
110N04847,Urbanized
110+04686,Urbanized
110P04686,Urbanized
110+04687,Urbanized
110P04687,Urbanized
110+04688,Urbanized
110P04688,Urbanized
110+04689,Urbanized
110P04689,Urbanized
110+04690,Urbanized
110+04691,Urbanized
110P04691,Urbanized
110+04692,Urbanized
110P04692,Urbanized
110+04693,Urbanized
110P04693,Urbanized
110+04694,Urbanized
110P04694,Urbanized
110+04695,Urbanized
110+04696,Urbanized
110P04696,Urbanized
110+04697,Urbanized
110P04697,Urbanized
110+04698,Urbanized
110P04698,Urbanized
110+04699,Urbanized
110P04699,Urbanized
110+04700,Urbanized
110P04700,Urbanized
110+04701,Urbanized
110P04701,Urbanized
110+04702,Urbanized
110P04702,Urbanized
110+04703,Urbanized
110P04703,Urbanized
110+04704,Urbanized
110P04704,Urbanized
110+04705,Urbanized
110P04705,Urbanized
110+04706,Urbanized
110P04706,Urbanized
110+04707,Urbanized
110P04707,Urbanized
110+04708,Urbanized
110P04708,Urbanized
110+04709,Urbanized
110P04709,Urbanized
110+04710,Urbanized
110P04710,Urbanized
110+04711,Urbanized
110N04710,Urbanized
110-04709,Urbanized
110N04709,Urbanized
110-04708,Urbanized
110N04708,Urbanized
110-04707,Urbanized
110N04707,Urbanized
110-04706,Urbanized
110N04706,Urbanized
110-04705,Urbanized
110N04705,Urbanized
110-04704,Urbanized
110N04704,Urbanized
110-04703,Urbanized
110N04703,Urbanized
110-04702,Urbanized
110N04702,Urbanized
110-04701,Urbanized
110N04701,Urbanized
110-04700,Urbanized
