TMC,YEAR,PERIOD,Crashes
110+04121,2017,AMP,24
110+04121,2017,MIDD,23
110+04121,2017,PMP,23
110+04121,2017,WE,12
110+04121,2018,AMP,26
110+04121,2018,MIDD,23
110+04121,2018,PMP,26
110+04121,2018,WE,16
110+04121,2019,AMP,5
110+04121,2019,MIDD,3
110+04121,2019,PMP,9
110+04121,2019,WE,10
110+04121,2020,AMP,3
110+04121,2020,MIDD,3
110+04121,2020,PMP,1
110+04121,2020,WE,1
110+04121,2021,AMP,2.6160661
110+04121,2021,MIDD,2.345438572
110+04121,2021,PMP,2.661170688
110+04121,2021,WE,1.759078929
110+04121,2022,AMP,2.613959344
110+04121,2022,MIDD,2.343549756
110+04121,2022,PMP,2.659027608
110+04121,2022,WE,1.757662317
110+04121,2023,AMP,2.611796936
110+04121,2023,MIDD,2.341611046
110+04121,2023,PMP,2.656827918
110+04121,2023,WE,1.756208285
110+04121,2024,AMP,2.609692688
110+04121,2024,MIDD,2.339724478
110+04121,2024,PMP,2.654687389
110+04121,2024,WE,1.754793359
110+04122,2017,AMP,7
110+04122,2017,MIDD,6
110+04122,2017,PMP,14
110+04122,2017,WE,5
110+04122,2018,AMP,14
110+04122,2018,MIDD,12
110+04122,2018,PMP,13
110+04122,2018,WE,6
110+04122,2019,AMP,5
110+04122,2019,MIDD,10
110+04122,2019,PMP,7
110+04122,2019,WE,3
110+04122,2020,AMP,1
110+04122,2020,MIDD,6
110+04122,2020,PMP,5
110+04122,2020,WE,3
110+04122,2021,AMP,6.110485127
110+04122,2021,MIDD,7.694684975
110+04122,2021,PMP,8.826256295
110+04122,2021,WE,3.847342487
110+04122,2022,AMP,6.105617218
110+04122,2022,MIDD,7.688555016
110+04122,2022,PMP,8.819224871
110+04122,2022,WE,3.844277508
110+04122,2023,AMP,6.100752102
110+04122,2023,MIDD,7.682428573
110+04122,2023,PMP,8.812197481
110+04122,2023,WE,3.841214287
110+04122,2024,AMP,6.095754753
110+04122,2024,MIDD,7.676135615
110+04122,2024,PMP,8.804979087
110+04122,2024,WE,3.838067807
110+04123,2017,AMP,9
110+04123,2017,MIDD,2
110+04123,2017,PMP,2
110+04123,2017,WE,3
110+04123,2018,AMP,12
110+04123,2018,MIDD,16
110+04123,2018,PMP,3
110+04123,2018,WE,4
110+04123,2019,AMP,9
110+04123,2019,MIDD,5
110+04123,2019,PMP,4
110+04123,2019,WE,4
110+04123,2020,AMP,5
110+04123,2020,MIDD,6
110+04123,2020,PMP,3
110+04123,2020,WE,2
110+04123,2021,AMP,5.929834511
110+04123,2021,MIDD,4.913291452
110+04123,2021,PMP,2.033086118
110+04123,2021,WE,2.202509961
110+04123,2022,AMP,5.925246594
110+04123,2022,MIDD,4.909490035
110+04123,2022,PMP,2.031513118
110+04123,2022,WE,2.200805878
110+04123,2023,AMP,5.920526352
110+04123,2023,MIDD,4.905578978
110+04123,2023,PMP,2.029894749
110+04123,2023,WE,2.199052645
110+04123,2024,AMP,5.915943511
110+04123,2024,MIDD,4.901781766
110+04123,2024,PMP,2.028323489
110+04123,2024,WE,2.197350447
110+04124,2017,AMP,4
110+04124,2017,MIDD,0
110+04124,2017,PMP,2
110+04124,2017,WE,1
110+04124,2018,AMP,6
110+04124,2018,MIDD,4
110+04124,2018,PMP,1
110+04124,2018,WE,1
110+04124,2019,AMP,4
110+04124,2019,MIDD,4
110+04124,2019,PMP,3
110+04124,2019,WE,1
110+04124,2020,AMP,5
110+04124,2020,MIDD,3
110+04124,2020,PMP,0
110+04124,2020,WE,0
110+04124,2021,AMP,3.084487946
110+04124,2021,MIDD,3.409170887
110+04124,2021,PMP,3.084487946
110+04124,2021,WE,2.597463533
110+04124,2022,AMP,3.082071387
110+04124,2022,MIDD,3.406499954
110+04124,2022,PMP,3.082071387
110+04124,2022,WE,2.595428537
110+04124,2023,AMP,3.079587194
110+04124,2023,MIDD,3.403754267
110+04124,2023,PMP,3.079587194
110+04124,2023,WE,2.593336584
110+04124,2024,AMP,3.077173376
110+04124,2024,MIDD,3.401086363
110+04124,2024,PMP,3.077173376
110+04124,2024,WE,2.591303896
110+04125,2017,AMP,0
110+04125,2017,MIDD,1
110+04125,2017,PMP,2
110+04125,2017,WE,0
110+04125,2018,AMP,0
110+04125,2018,MIDD,1
110+04125,2018,PMP,1
110+04125,2018,WE,1
110+04125,2019,AMP,1
110+04125,2019,MIDD,0
110+04125,2019,PMP,1
110+04125,2019,WE,0
110+04125,2020,AMP,0
110+04125,2020,MIDD,0
110+04125,2020,PMP,0
110+04125,2020,WE,0
110+04125,2021,AMP,0.597773366
110+04125,2021,MIDD,0.265677052
110+04125,2021,PMP,0.265677052
110+04125,2021,WE,0.531354103
110+04125,2022,AMP,0.597281308
110+04125,2022,MIDD,0.265458359
110+04125,2022,PMP,0.265458359
110+04125,2022,WE,0.530916718
110+04125,2023,AMP,0.596789546
110+04125,2023,MIDD,0.265239798
110+04125,2023,PMP,0.265239798
110+04125,2023,WE,0.530479596
110+04125,2024,AMP,0.596311009
110+04125,2024,MIDD,0.265027115
110+04125,2024,PMP,0.265027115
110+04125,2024,WE,0.530054231
110+04126,2017,AMP,3
110+04126,2017,MIDD,2
110+04126,2017,PMP,6
110+04126,2017,WE,3
110+04126,2018,AMP,9
110+04126,2018,MIDD,5
110+04126,2018,PMP,5
110+04126,2018,WE,2
110+04126,2019,AMP,1
110+04126,2019,MIDD,1
110+04126,2019,PMP,4
110+04126,2019,WE,0
110+04126,2020,AMP,1
