TMC,YEAR,PERIOD,ALL_WEATHER
110+04121,2017,AMP,0.066037393
110+04121,2017,MIDD,0.06045317
110+04121,2017,PMP,0.0957914
110+04121,2017,WE,0.066037393
110+04121,2018,AMP,0.05677815
110+04121,2018,MIDD,0.045886725
110+04121,2018,PMP,0.054062633
110+04121,2018,WE,0.05677815
110+04121,2019,AMP,0.004860579
110+04121,2019,MIDD,0.001991982
110+04121,2019,PMP,0.003593018
110+04121,2019,WE,0.004860579
110+04121,2020,AMP,0.004068331
110+04121,2020,MIDD,0.0013797
110+04121,2020,PMP,0.003632846
110+04121,2020,WE,0.004068331
110+04122,2017,AMP,0.21545219
110+04122,2017,MIDD,0.019079772
110+04122,2017,PMP,0.059660791
110+04122,2017,WE,0.21545219
110+04122,2018,AMP,0.150500745
110+04122,2018,MIDD,0.035258621
110+04122,2018,PMP,0.026038474
110+04122,2018,WE,0.150500745
110+04122,2019,AMP,0.06773228
110+04122,2019,MIDD,0.020755641
110+04122,2019,PMP,0.03991672
110+04122,2019,WE,0.06773228
110+04122,2020,AMP,0.019508323
110+04122,2020,MIDD,0.013544847
110+04122,2020,PMP,0.020373993
110+04122,2020,WE,0.019508323
110+04123,2017,AMP,0.032541667
110+04123,2017,MIDD,0.009107372
110+04123,2017,PMP,0.016509615
110+04123,2017,WE,0.032541667
110+04123,2018,AMP,0.039706258
110+04123,2018,MIDD,0.0193107
110+04123,2018,PMP,0.01415762
110+04123,2018,WE,0.039706258
110+04123,2019,AMP,0.052112601
110+04123,2019,MIDD,0.030161239
110+04123,2019,PMP,0.034866965
110+04123,2019,WE,0.052112601
110+04123,2020,AMP,0.03463767
110+04123,2020,MIDD,0.014690592
110+04123,2020,PMP,0.017503976
110+04123,2020,WE,0.03463767
110+04124,2017,AMP,0.087659989
110+04124,2017,MIDD,0.005201923
110+04124,2017,PMP,0.007062767
110+04124,2017,WE,0.087659989
110+04124,2018,AMP,0.042265326
110+04124,2018,MIDD,0.006451682
110+04124,2018,PMP,0.011436516
110+04124,2018,WE,0.042265326
110+04124,2019,AMP,0.030434227
110+04124,2019,MIDD,0.013896161
110+04124,2019,PMP,0.008570136
110+04124,2019,WE,0.030434227
110+04124,2020,AMP,0.009419264
110+04124,2020,MIDD,0.003695222
110+04124,2020,PMP,0.002339642
110+04124,2020,WE,0.009419264
110+04125,2017,AMP,0.000359509
110+04125,2017,MIDD,0
110+04125,2017,PMP,0
110+04125,2017,WE,0.000359509
110+04125,2018,AMP,0.0000492231
110+04125,2018,MIDD,0.000821626
110+04125,2018,PMP,0
110+04125,2018,WE,0.0000492231
110+04125,2019,AMP,0
110+04125,2019,MIDD,0
110+04125,2019,PMP,0
110+04125,2019,WE,0
110+04125,2020,AMP,0
110+04125,2020,MIDD,0
110+04125,2020,PMP,0
110+04125,2020,WE,0
110+04126,2017,AMP,0.005615118
110+04126,2017,MIDD,0.002345976
110+04126,2017,PMP,0.004082265
110+04126,2017,WE,0.005615118
110+04126,2018,AMP,0.013382822
110+04126,2018,MIDD,0.008450937
110+04126,2018,PMP,0.003902991
110+04126,2018,WE,0.013382822
110+04126,2019,AMP,0.001741166
