TMC,YEAR,PERIOD,V/C_STRAIGHT_AVG,AVG_HOURLY_VAL
110+04121,2017,AMP,0.804675664,5248.25
110+04121,2017,MIDD,0.705454458,4601.333333
110+04121,2017,PMP,0.860400733,5611.75
110+04121,2017,WE,0.778073738,5074.857143
110+04121,2018,AMP,0.781407848,5096.75
110+04121,2018,MIDD,0.685055699,4468.166667
110+04121,2018,PMP,0.835521584,5449.5
110+04121,2018,WE,0.755575137,4928.142857
110+04121,2019,AMP,0.792925774,5171.75
110+04121,2019,MIDD,0.695153398,4534
110+04121,2019,PMP,0.847837144,5530.25
110+04121,2019,WE,0.76671229,5000.857143
110+04121,2020,AMP,0.685784975,4473
110+04121,2020,MIDD,0.601223685,3921.333333
110+04121,2020,PMP,0.733276675,4782.5
110+04121,2020,WE,0.663113479,4325
110+04121,2021,AMP,0.748745473,4883.5
110+04121,2021,MIDD,0.656420786,4281.333333
110+04121,2021,PMP,0.800597287,5221.75
110+04121,2021,WE,0.723992554,4722.071429
110+04121,2022,AMP,0.74841537,4881.5
110+04121,2022,MIDD,0.656131386,4279.5
110+04121,2022,PMP,0.800244324,5219.25
110+04121,2022,WE,0.723673364,4720
110+04121,2023,AMP,0.748076345,4879
110+04121,2023,MIDD,0.655834165,4277.5
110+04121,2023,PMP,0.799881821,5217
110+04121,2023,WE,0.723345546,4717.785714
110+04121,2024,AMP,0.747746242,4877
110+04121,2024,MIDD,0.655544765,4275.666667
110+04121,2024,PMP,0.799528857,5214.75
110+04121,2024,WE,0.723026356,4715.785714
110+04122,2017,AMP,0.749330043,4928.5
110+04122,2017,MIDD,0.723298581,4757.166667
110+04122,2017,PMP,0.777534755,5114.25
110+04122,2017,WE,0.746232192,4908.142857
110+04122,2018,AMP,0.727660992,4786
110+04122,2018,MIDD,0.702382306,4619.666667
110+04122,2018,PMP,0.755050083,4966
110+04122,2018,WE,0.724652724,4766.142857
110+04122,2019,AMP,0.73838816,4856.5
110+04122,2019,MIDD,0.712736816,4687.666667
110+04122,2019,PMP,0.766181021,5039.25
110+04122,2019,WE,0.735335544,4836.357143
110+04122,2020,AMP,0.638614333,4200.25
110+04122,2020,MIDD,0.616429096,4054.333333
110+04122,2020,PMP,0.662651716,4358.25
110+04122,2020,WE,0.635974198,4182.857143
110+04122,2021,AMP,0.697240153,4585.75
110+04122,2021,MIDD,0.673018275,4426.666667
110+04122,2021,PMP,0.723484206,4758.5
110+04122,2021,WE,0.694357649,4566.928571
110+04122,2022,AMP,0.696930963,4583.75
110+04122,2022,MIDD,0.672719826,4424.666667
110+04122,2022,PMP,0.723163378,4756.5
110+04122,2022,WE,0.694049737,4564.928571
110+04122,2023,AMP,0.696621773,4581.75
110+04122,2023,MIDD,0.672421378,4422.666667
110+04122,2023,PMP,0.72284255,4754.25
