TMC,PERIOD,TRUCK_PCT
110+04121,AMP,2.4700933
110+04121,MIDD,2.4700933
110+04121,PMP,2.4700933
110+04121,WE,2.4700933
110+04122,AMP,2.4716769
110+04122,MIDD,2.4716769
110+04122,PMP,2.4716769
110+04122,WE,2.4716769
110+04123,AMP,2.4785285
110+04123,MIDD,2.4785285
110+04123,PMP,2.4785285
110+04123,WE,2.4785285
110+04124,AMP,2.4728776
110+04124,MIDD,2.4728776
110+04124,PMP,2.4728776
110+04124,WE,2.4728776
110+04125,AMP,2.4720117
110+04125,MIDD,2.4720117
110+04125,PMP,2.4720117
110+04125,WE,2.4720117
110+04126,AMP,2.4720117
110+04126,MIDD,2.4720117
110+04126,PMP,2.4720117
110+04126,WE,2.4720117
110+04127,AMP,2.4706651
110+04127,MIDD,2.4706651
110+04127,PMP,2.4706651
110+04127,WE,2.4706651
110+04128,AMP,2.4720923
110+04128,MIDD,2.4720923
110+04128,PMP,2.4720923
110+04128,WE,2.4720923
110+04129,AMP,2.4720923
110+04129,MIDD,2.4720923
110+04129,PMP,2.4720923
110+04129,WE,2.4720923
110+04130,AMP,2.4720923
110+04130,MIDD,2.4720923
110+04130,PMP,2.4720923
110+04130,WE,2.4720923
110+04143,AMP,15.2854389
110+04143,MIDD,14.2434207
110+04143,PMP,12.27685
110+04143,WE,14.0470574
110+04144,AMP,15.3007429
110+04144,MIDD,14.2684625
110+04144,PMP,12.2870357
110+04144,WE,14.0651909
110+04145,AMP,7.3301641
110+04145,MIDD,8.7960248
110+04145,PMP,6.604014
110+04145,WE,7.7674597
110+04146,AMP,7.2653951
110+04146,MIDD,8.8164222
110+04146,PMP,6.5890825
110+04146,WE,7.7275468
110+04147,AMP,7.3185747
110+04147,MIDD,8.7735324
110+04147,PMP,6.5546241
110+04147,WE,7.7254059
110+04148,AMP,7.2819212
110+04148,MIDD,8.7363009
110+04148,PMP,6.4262408
110+04148,WE,7.6321034
110+04149,AMP,7.3525362
110+04149,MIDD,8.7814821
110+04149,PMP,6.5473173
110+04149,WE,7.7447492
110+04150,AMP,7.3430084
110+04150,MIDD,8.7663081
110+04150,PMP,6.4965311
110+04150,WE,7.7196698
110+04151,AMP,7.3430084
110+04151,MIDD,8.7663081
110+04151,PMP,6.4965311
110+04151,WE,7.7196698
110+04152,AMP,7.3308236
110+04152,MIDD,8.7729913
110+04152,PMP,6.5652201
110+04152,WE,7.7353377
110+04153,AMP,7.2950304
110+04153,MIDD,8.7929919
110+04153,PMP,6.5285648
110+04153,WE,7.7074714
110+04154,AMP,7.2790444
110+04154,MIDD,8.8278177
110+04154,PMP,6.6262102
110+04154,WE,7.7395317
110+04155,AMP,7.2789494
110+04155,MIDD,8.8353604
110+04155,PMP,6.7137542
110+04155,WE,7.7786758
110+04156,AMP,7.1079876
110+04156,MIDD,8.6685678
110+04156,PMP,6.6936557
110+04156,WE,7.5660645
110+04157,AMP,7.2864163
110+04157,MIDD,8.810654
110+04157,PMP,6.6469817
110+04157,WE,7.7547665
110+04158,AMP,7.2864163
110+04158,MIDD,8.810654
110+04158,PMP,6.6469817
110+04158,WE,7.7547665
110+04159,AMP,7.2864163
110+04159,MIDD,8.810654
110+04159,PMP,6.6469817
110+04159,WE,7.7547665
110+04163,AMP,1.5492427
110+04163,MIDD,1.0544931
110+04163,PMP,1.5225245
110+04163,WE,1.335278
110+04164,AMP,1.5492427
110+04164,MIDD,1.0544931
110+04164,PMP,1.5225245
110+04164,WE,1.335278
