Year_Record,Travel_Time_Code,DIR_AADT
2020,110-04120,104304
2020,110-04121,95760
2020,110-04122,92294
2020,110-04123,95287
2020,110-04124,103750
2020,110-04125,100739
2020,110-04126,97843
2020,110-04127,69602
2020,110-04128,92146
2020,110-04129,92146
2020,110-04142,74520
2020,110-04143,67442
2020,110-04144,68072
2020,110-04145,69932
2020,110-04146,68522
2020,110-04147,84148
2020,110-04148,85106
2020,110-04149,99064
2020,110-04150,99409
2020,110-04151,104032
2020,110-04152,112068
2020,110-04153,114974
2020,110-04154,118985
2020,110-04155,127470
2020,110-04156,127470
2020,110-04157,131833
2020,110-04158,116082
2020,110-04162,48173
2020,110-04163,46538
2020,110-04164,36700
2020,110-04165,43648
2020,110-04166,49942
2020,110-04167,43001
2020,110-04168,56240
2020,110-04169,57117
2020,110-04170,57117
2020,110-04171,57117
2020,110-04172,65126
2020,110-04173,35796
2020,110-04174,36809
2020,110-04175,81502
2020,110-04176,81502
2020,110-04177,94750
2020,110-04178,90518
2020,110-04179,61253
2020,110-04180,61253
2020,110-04181,78982
2020,110-04182,65141
2020,110-04183,75055
2020,110-04184,63350
2020,110-04185,60176
2020,110-04186,32615
2020,110-04187,21294
2020,110-04188,20113
2020,110-04189,25384
2020,110-04190,24820
2020,110-04191,20607
2020,110-04192,20607
2020,110-04193,19679
2020,110-04226,26424
2020,110-04227,31537
2020,110-04228,55076
2020,110-04229,51248
2020,110-04230,53752
2020,110-04231,53752
2020,110-04232,52733
2020,110-04233,53841
2020,110-04234,50571
2020,110-04235,47783
2020,110-04236,41371
2020,110-04237,41371
2020,110-04238,22942
2020,110-04239,23720
2020,110-04240,21236
2020,110-04241,18744
2020,110-04242,16556
2020,110-04243,15030
2020,110-04247,30002
2020,110-04249,14575
2020,110-04250,22358
2020,110-04251,22264
2020,110-04252,33376
2020,110-04324,30920
2020,110-04325,30920
2020,110-04326,30920
2020,110-04327,33834
2020,110-04328,26322
2020,110-04330,26480
2020,110-04331,30920
2020,110-04332,30920
2020,110-04333,30920
2020,110-04603,123265
2020,110-04604,95138
2020,110-04605,84754
2020,110-04606,85383
2020,110-04607,97424
2020,110-04608,88370
2020,110-04609,85792
2020,110-04610,80875
2020,110-04611,84468
2020,110-04612,98030
2020,110-04613,116608
2020,110-04644,77025
2020,110-04645,72114
2020,110-04646,85332
2020,110-04647,96562
2020,110-04648,99674
2020,110-04670,69602
2020,110-04675,22830
2020,110-04678,21852
2020,110-04679,23262
2020,110-04681,25919
2020,110-04682,34451
2020,110-04683,30891
2020,110-04684,26400
2020,110-04685,30612
2020,110-04686,27025
2020,110-04687,27752
2020,110-04688,25394
2020,110-04689,33734
2020,110-04690,32074
2020,110-04691,41874
2020,110-04692,41874
2020,110-04693,41874
2020,110-04694,42584
2020,110-04695,7170
2020,110-04696,45614
2020,110-04697,45614
2020,110-04698,54040
2020,110-04699,53794
2020,110-04700,53600
2020,110-04701,53558
2020,110-04702,103353
2020,110-04703,94470
2020,110-04704,87964
2020,110-04705,74055
2020,110-04706,70428
2020,110-04707,54113
2020,110-04708,36342
2020,110-04709,29052
2020,110-04710,14304
2020,110-04711,13798
2020,110-04712,11218
2020,110-04713,15478
2020,110-04714,17340
2020,110-04715,14912
2020,110-04717,18132
2020,110-04718,20416
2020,110-04719,25530
2020,110-04720,28360
2020,110-04721,48127
2020,110-04722,48150
2020,110-04723,52708
2020,110-04724,35574
2020,110-04725,35574
2020,110-04727,55474
2020,110-04728,56585
2020,110-04729,43394
2020,110-04730,42003
2020,110-04731,39617
2020,110-04732,40102
2020,110-04733,29739
2020,110-04734,34904
2020,110-04735,34022
2020,110-04736,28509
2020,110-04737,28389
2020,110-04738,28389
2020,110-04739,36630
2020,110-04740,36630
2020,110-04741,40790
2020,110-04742,42922
2020,110-04743,45469
2020,110-04745,14858
2020,110-04746,21978
2020,110-04747,21866
2020,110-04748,26878
2020,110-04749,22765
2020,110-04750,22776
2020,110-04751,29236
2020,110-04752,26022
2020,110-04753,34142
2020,110-04754,32666
2020,110-04755,23844
2020,110-04757,32646
2020,110-04758,17986
2020,110-04759,21550
2020,110-04760,22451
2020,110-04761,22640
2020,110-04762,22944
2020,110-04763,32015
2020,110-04764,38763
2020,110-04765,40084
2020,110-04766,41006
2020,110-04767,41006
2020,110-04768,39855
2020,110-04769,9435
2020,110-04770,11515
2020,110-04771,11515
2020,110-04772,18907
2020,110-04773,18602
2020,110-04774,13173
2020,110-04775,36460
2020,110-04776,42570
2020,110-04777,42702
2020,110-04778,28112
2020,110-04779,31740
2020,110-04780,27366
2020,110-04781,26694
2020,110-04782,24158
2020,110-04784,64969
2020,110-04785,59142
2020,110-04786,53026
2020,110-04787,50776
2020,110-04788,50486
2020,110-04789,65906
2020,110-04790,65808
2020,110-04791,76594
2020,110-04792,66336
2020,110-04793,77742
2020,110-04794,81144
2020,110-04795,81144
2020,110-04797,19240
2020,110-04798,19842
2020,110-04799,23386
2020,110-04800,23433
2020,110-04801,14204
