Tmc,year,AMP EPDOR,MIDD EPDOR,PMP EPDOR,WE EPDOR
110+04121,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04121,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04121,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04121,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04122,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04122,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04122,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04122,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04123,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04123,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04123,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04123,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04124,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04124,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04124,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04124,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04125,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04125,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04125,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04125,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04126,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04126,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04126,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04126,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04127,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04127,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04127,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04127,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04128,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04128,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04128,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04128,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04129,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04129,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04129,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04129,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04130,2017,27.96118655,20.57869505,32.02155688,44.01810556
110+04130,2018,36.35877063,31.19102658,22.97800479,33.49805517
110+04130,2019,36.17420834,27.68434312,32.57524374,29.52996599
110+04130,2020,20.85553848,25.46959567,15.87235672,25.37731453
110+04143,2017,9.703010014,29.74738596,19.02300648,16.46958279
110+04143,2018,27.06629109,30.2580707,15.70355568,18.25697937
110+04143,2019,37.91834177,36.13094518,8.298626986,62.81422272
110+04143,2020,12.89478962,23.10848438,5.23451856,88.73147316
110+04144,2017,21.99342861,34.28083708,14.66228574,35.93292562
110+04144,2018,16.93390748,47.60080089,11.46136421,5.472543269
110+04144,2019,32.62874855,5.162776669,4.543243469,7.744165004
110+04144,2020,4.749754536,13.62973041,5.988820936,17.45018514
110+04145,2017,21.99342861,34.28083708,14.66228574,35.93292562
110+04145,2018,16.93390748,47.60080089,11.46136421,5.472543269
110+04145,2019,32.62874855,5.162776669,4.543243469,7.744165004
