Tmc,year,AMP LIIR,MIDD LIIR,PMP LIIR,WE LIIR
110+04121,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04121,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04121,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04121,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04122,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04122,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04122,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04122,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04123,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04123,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04123,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04123,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04124,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04124,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04124,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04124,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04125,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04125,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04125,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04125,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04126,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04126,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04126,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04126,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04127,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04127,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04127,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04127,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04128,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04128,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04128,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04128,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04129,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04129,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04129,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04129,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04130,2017,7.751616074,6.090555486,7.290210355,6.459680061
110+04130,2018,9.781801236,7.65933493,6.828804636,5.813712055
110+04130,2019,8.674427511,9.597238948,9.412676661,8.028459505
110+04130,2020,5.813712055,8.305302936,5.260025193,5.629149768
110+04143,2017,0.893698291,1.532054213,1.021369475,3.702464348
110+04143,2018,1.14904066,2.425752504,0.638355922,1.787396582
110+04143,2019,2.936437241,2.808766057,1.915067766,3.830135532
110+04143,2020,1.532054213,2.553423688,1.659725397,4.340820269
110+04144,2017,2.994410468,3.304177068,0.826044267,2.891154935
110+04144,2018,1.755344068,3.613943669,1.342321934,1.652088534
110+04144,2019,2.065110668,1.135810867,1.548833001,1.961855134
110+04144,2020,0.9292998,1.445577467,0.9292998,2.065110668
110+04145,2017,2.994410468,3.304177068,0.826044267,2.891154935
110+04145,2018,1.755344068,3.613943669,1.342321934,1.652088534
110+04145,2019,2.065110668,1.135810867,1.548833001,1.961855134
110+04145,2020,0.9292998,1.445577467,0.9292998,2.065110668
110+04146,2017,1.295249403,3.346060958,2.374623905,2.158749005
110+04146,2018,1.187311953,2.374623905,2.374623905,1.834936654
110+04146,2019,1.511124303,4.101623109,3.238123507,2.806373706
110+04146,2020,2.266686455,1.942874104,2.158749005,2.158749005
110+04147,2017,1.295249403,3.346060958,2.374623905,2.158749005
110+04147,2018,1.187311953,2.374623905,2.374623905,1.834936654
110+04147,2019,1.511124303,4.101623109,3.238123507,2.806373706
110+04147,2020,2.266686455,1.942874104,2.158749005,2.158749005
110+04148,2017,1.295249403,3.346060958,2.374623905,2.158749005
110+04148,2018,1.187311953,2.374623905,2.374623905,1.834936654
110+04148,2019,1.511124303,4.101623109,3.238123507,2.806373706
110+04148,2020,2.266686455,1.942874104,2.158749005,2.158749005
110+04149,2017,4.508877594,4.251227445,2.318851334,2.962976704
110+04149,2018,4.766527742,4.251227445,2.83415163,5.539478186
110+04149,2019,7.600679372,3.478277001,2.447676408,4.508877594
110+04149,2020,3.220626853,3.993577297,3.607102075,3.607102075
110+04150,2017,4.508877594,4.251227445,2.318851334,2.962976704
110+04150,2018,4.766527742,4.251227445,2.83415163,5.539478186
110+04150,2019,7.600679372,3.478277001,2.447676408,4.508877594
110+04150,2020,3.220626853,3.993577297,3.607102075,3.607102075
110+04151,2017,4.508877594,4.251227445,2.318851334,2.962976704
110+04151,2018,4.766527742,4.251227445,2.83415163,5.539478186
110+04151,2019,7.600679372,3.478277001,2.447676408,4.508877594
110+04151,2020,3.220626853,3.993577297,3.607102075,3.607102075
110+04152,2017,4.508877594,4.251227445,2.318851334,2.962976704
110+04152,2018,4.766527742,4.251227445,2.83415163,5.539478186
110+04152,2019,7.600679372,3.478277001,2.447676408,4.508877594
110+04152,2020,3.220626853,3.993577297,3.607102075,3.607102075
110+04153,2017,4.954208348,4.763661873,3.334563311,4.001475973
110+04153,2018,4.763661873,4.001475973,2.381830936,3.810929498
110+04153,2019,3.525109786,4.287295685,2.858197124,3.906202736
110+04153,2020,2.667650649,4.954208348,2.286557699,2.953470361
110+04154,2017,4.954208348,4.763661873,3.334563311,4.001475973
110+04154,2018,4.763661873,4.001475973,2.381830936,3.810929498
110+04154,2019,3.525109786,4.287295685,2.858197124,3.906202736
110+04154,2020,2.667650649,4.954208348,2.286557699,2.953470361
110+04155,2017,4.954208348,4.763661873,3.334563311,4.001475973
110+04155,2018,4.763661873,4.001475973,2.381830936,3.810929498
110+04155,2019,3.525109786,4.287295685,2.858197124,3.906202736
110+04155,2020,2.667650649,4.954208348,2.286557699,2.953470361
110+04156,2017,4.954208348,4.763661873,3.334563311,4.001475973
110+04156,2018,4.763661873,4.001475973,2.381830936,3.810929498
110+04156,2019,3.525109786,4.287295685,2.858197124,3.906202736
110+04156,2020,2.667650649,4.954208348,2.286557699,2.953470361
110+04157,2017,4.954208348,4.763661873,3.334563311,4.001475973
110+04157,2018,4.763661873,4.001475973,2.381830936,3.810929498
110+04157,2019,3.525109786,4.287295685,2.858197124,3.906202736
110+04157,2020,2.667650649,4.954208348,2.286557699,2.953470361
110+04158,2017,4.954208348,4.763661873,3.334563311,4.001475973
110+04158,2018,4.763661873,4.001475973,2.381830936,3.810929498
110+04158,2019,3.525109786,4.287295685,2.858197124,3.906202736
110+04158,2020,2.667650649,4.954208348,2.286557699,2.953470361
110+04159,2017,4.954208348,4.763661873,3.334563311,4.001475973
110+04159,2018,4.763661873,4.001475973,2.381830936,3.810929498
110+04159,2019,3.525109786,4.287295685,2.858197124,3.906202736
110+04159,2020,2.667650649,4.954208348,2.286557699,2.953470361
110+04163,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04163,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04163,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04163,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04164,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04164,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04164,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04164,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04165,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04165,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04165,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04165,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04166,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04166,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04166,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04166,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04167,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04167,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04167,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04167,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04168,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04168,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04168,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04168,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04169,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04169,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04169,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04169,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04170,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04170,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04170,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04170,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04171,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04171,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04171,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04171,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04172,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04172,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04172,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04172,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04173,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04173,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04173,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04173,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04174,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04174,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04174,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04174,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04175,2017,1.890222672,3.307889676,2.740822874,1.606689271
110+04175,2018,1.417667004,2.646311741,1.795711538,1.984733806
110+04175,2019,1.890222672,2.079244939,1.606689271,1.795711538
110+04175,2020,1.03962247,1.701200405,1.134133603,0.472555668
110+04176,2017,2.453824437,9.237927292,13.4238631,3.897250576
110+04176,2018,3.608565348,11.11438127,13.85689094,5.629361944
110+04176,2019,6.495417627,12.12477957,12.70215003,6.639760241
110+04176,2020,4.04159319,9.237927292,7.650158539,4.76330626
110+04177,2017,2.453824437,9.237927292,13.4238631,3.897250576
110+04177,2018,3.608565348,11.11438127,13.85689094,5.629361944
110+04177,2019,6.495417627,12.12477957,12.70215003,6.639760241
110+04177,2020,4.04159319,9.237927292,7.650158539,4.76330626
110+04178,2017,2.453824437,9.237927292,13.4238631,3.897250576
110+04178,2018,3.608565348,11.11438127,13.85689094,5.629361944
110+04178,2019,6.495417627,12.12477957,12.70215003,6.639760241
110+04178,2020,4.04159319,9.237927292,7.650158539,4.76330626
110+04179,2017,2.453824437,9.237927292,13.4238631,3.897250576
110+04179,2018,3.608565348,11.11438127,13.85689094,5.629361944
110+04179,2019,6.495417627,12.12477957,12.70215003,6.639760241
110+04179,2020,4.04159319,9.237927292,7.650158539,4.76330626
110+04180,2017,2.465995247,3.522850352,8.10255581,2.642137764
110+04180,2018,6.517273152,6.341130634,7.39798574,3.346707835
110+04180,2019,10.56855106,14.79597148,16.73353917,21.84167218
110+04180,2020,5.108133011,13.56297386,11.09697861,10.0401235
110+04181,2017,2.465995247,3.522850352,8.10255581,2.642137764
110+04181,2018,6.517273152,6.341130634,7.39798574,3.346707835
110+04181,2019,10.56855106,14.79597148,16.73353917,21.84167218
110+04181,2020,5.108133011,13.56297386,11.09697861,10.0401235
110+04182,2017,2.465995247,3.522850352,8.10255581,2.642137764
110+04182,2018,6.517273152,6.341130634,7.39798574,3.346707835
110+04182,2019,10.56855106,14.79597148,16.73353917,21.84167218
110+04182,2020,5.108133011,13.56297386,11.09697861,10.0401235
110+04183,2017,2.465995247,3.522850352,8.10255581,2.642137764
110+04183,2018,6.517273152,6.341130634,7.39798574,3.346707835
110+04183,2019,10.56855106,14.79597148,16.73353917,21.84167218
110+04183,2020,5.108133011,13.56297386,11.09697861,10.0401235
110+04184,2017,0.837000792,2.09250198,3.138752969,0.837000792
110+04184,2018,0.837000792,2.720252573,3.348003167,1.04625099
110+04184,2019,4.185003959,7.951507522,8.788508314,5.022004751
110+04184,2020,3.138752969,7.323756928,9.416258908,5.859005543
110+04185,2017,0.295269633,0.738174082,0.738174082,0.442904449
110+04185,2018,0.442904449,2.214522246,0.885808899,0.738174082
110+04185,2019,1.476348164,1.476348164,2.06688743,1.328713348
110+04185,2020,1.328713348,2.657426696,1.476348164,1.771617797
110+04186,2017,0.295269633,0.738174082,0.738174082,0.442904449
110+04186,2018,0.442904449,2.214522246,0.885808899,0.738174082
110+04186,2019,1.476348164,1.476348164,2.06688743,1.328713348
110+04186,2020,1.328713348,2.657426696,1.476348164,1.771617797
110+04187,2017,0.295269633,0.738174082,0.738174082,0.442904449
110+04187,2018,0.442904449,2.214522246,0.885808899,0.738174082
110+04187,2019,1.476348164,1.476348164,2.06688743,1.328713348
110+04187,2020,1.328713348,2.657426696,1.476348164,1.771617797
110+04188,2017,0.230266532,0.230266532,0,0.345399799
110+04188,2018,0.575666331,0.460533065,0.115133266,0.460533065
110+04188,2019,0.575666331,0.460533065,0.345399799,0.921066129
110+04188,2020,0.230266532,0.460533065,0.460533065,0.460533065
110+04189,2017,0,0.453046078,0,0.339784558
110+04189,2018,0.339784558,0.226523039,1.245876714,0.339784558
110+04189,2019,0.113261519,0.792830636,0.226523039,0.566307597
110+04189,2020,0,0.679569117,0.226523039,0.566307597
110+04190,2017,0,0.453046078,0,0.339784558
110+04190,2018,0.339784558,0.226523039,1.245876714,0.339784558
110+04190,2019,0.113261519,0.792830636,0.226523039,0.566307597
110+04190,2020,0,0.679569117,0.226523039,0.566307597
110+04191,2017,0,0.453046078,0,0.339784558
110+04191,2018,0.339784558,0.226523039,1.245876714,0.339784558
110+04191,2019,0.113261519,0.792830636,0.226523039,0.566307597
110+04191,2020,0,0.679569117,0.226523039,0.566307597
110+04192,2017,0,0.453046078,0,0.339784558
110+04192,2018,0.339784558,0.226523039,1.245876714,0.339784558
110+04192,2019,0.113261519,0.792830636,0.226523039,0.566307597
