tmc,AMP Truck,MIDD Truck,PMP Truck,WE Truck
110+04121,2.4700933,2.4700933,2.4700933,2.4700933
110+04122,2.4716769,2.4716769,2.4716769,2.4716769
110+04123,2.4785285,2.4785285,2.4785285,2.4785285
110+04124,2.4728776,2.4728776,2.4728776,2.4728776
110+04125,2.4720117,2.4720117,2.4720117,2.4720117
110+04126,2.4720117,2.4720117,2.4720117,2.4720117
110+04127,2.4706651,2.4706651,2.4706651,2.4706651
110+04128,2.4720923,2.4720923,2.4720923,2.4720923
110+04129,2.4720923,2.4720923,2.4720923,2.4720923
110+04130,2.4720923,2.4720923,2.4720923,2.4720923
110+04143,15.2854389,14.2434207,12.27685,14.0470574
110+04144,15.3007429,14.2684625,12.2870357,14.0651909
110+04145,7.3301641,8.7960248,6.604014,7.7674597
110+04146,7.2653951,8.8164222,6.5890825,7.7275468
110+04147,7.3185747,8.7735324,6.5546241,7.7254059
110+04148,7.2819212,8.7363009,6.4262408,7.6321034
110+04149,7.3525362,8.7814821,6.5473173,7.7447492
110+04150,7.3430084,8.7663081,6.4965311,7.7196698
110+04151,7.3430084,8.7663081,6.4965311,7.7196698
110+04152,7.3308236,8.7729913,6.5652201,7.7353377
110+04153,7.2950304,8.7929919,6.5285648,7.7074714
110+04154,7.2790444,8.8278177,6.6262102,7.7395317
110+04155,7.2789494,8.8353604,6.7137542,7.7786758
110+04156,7.1079876,8.6685678,6.6936557,7.5660645
110+04157,7.2864163,8.810654,6.6469817,7.7547665
110+04158,7.2864163,8.810654,6.6469817,7.7547665
110+04159,7.2864163,8.810654,6.6469817,7.7547665
110+04163,1.5492427,1.0544931,1.5225245,1.335278
110+04164,1.5492427,1.0544931,1.5225245,1.335278
110+04165,1.5458122,1.0500507,1.496867,1.3177792
110+04166,1.5485305,1.0494195,1.4902641,1.3153748
110+04167,1.5517528,1.0479831,1.4693358,1.3094298
110+04168,1.54837,1.0470511,1.4812305,1.307084
110+04169,1.5520372,1.0504064,1.4585522,1.3099231
110+04170,1.5585342,1.0541013,1.4716751,1.3197721
110+04172,1.5585342,1.0541013,1.4716751,1.3197721
110+04173,1.5620227,1.0614625,1.4490997,1.3167348
110+04174,1.5329214,1.062364,1.4092098,1.2900994
110+04175,1.5423975,1.0639504,1.4097419,1.2956566
110+04176,1.5537113,1.0437443,1.4782318,1.3178568
110+04177,1.5537113,1.0437443,1.4782318,1.3178568
110+04178,1.5572579,1.0518579,1.4684686,1.3163839
110+04179,1.5597688,1.0650005,1.4877876,1.3321564
110+04180,1.5641072,1.0753449,1.4956889,1.3298259
110+04181,1.5641072,1.0753449,1.4956889,1.3298259
110+04182,1.5609686,1.0691671,1.5402598,1.3444189
110+04183,1.5659208,1.0846005,1.5725707,1.3575432
110+04184,13.5280558,10.4274148,5.0390653,8.9074799
110+04185,13.5695169,10.5109833,5.2281395,8.9679522
110+04186,13.5524906,10.4457062,5.1052141,8.927164
110+04187,13.56964,10.4239298,5.0622144,8.9570391
110+04188,13.56964,10.4239298,5.0622144,8.9570391
110+04189,13.5524694,10.3724043,4.9912276,8.8636993
110+04190,13.5712803,10.546841,4.9852084,9.0378568
110+04191,13.5753282,10.5642486,4.9692854,9.070757
110+04192,13.5599367,10.5506339,4.9714162,9.0625423
110+04193,13.5599367,10.5506339,4.9714162,9.0625423
110+04194,20.8748456,17.4116918,12.3491679,16.1923368
110+04603,8.7935589,9.1951775,5.2470766,7.8922741
110+04604,5.6943416,6.3520866,3.1797003,5.2515369
110+04605,5.6667396,6.4075081,3.1796526,5.3087916
110+04606,5.6495453,6.5768962,3.1920405,5.4583183
110+04607,5.6662824,6.3851285,3.1874424,5.3522408
110+04608,5.7017867,6.377893,3.1847149,5.3083343
110+04609,5.7117741,6.4192463,3.1857164,5.3661764
110+04610,5.7069861,6.3727275,3.180512,5.2851606
110+04611,5.6785049,6.3036438,3.1808224,5.1594532
110+04612,5.6500972,6.3661082,3.1974381,5.3738495
110+04613,5.6531025,6.3827644,3.194205,5.3579704
110+04614,5.69619,6.3483588,3.1925167,5.309414
110+04645,8.7987952,9.1144389,5.2469426,7.8429962
110+04646,8.7987952,9.1144389,5.2469426,7.8429962
110+04647,8.7987952,9.1144389,5.2469426,7.8429962
110+04648,8.7916665,9.1161613,5.2363135,7.7409284
110+04670,2.4720923,2.4720923,2.4720923,2.4720923
110+04681,23.8645603,23.1088377,17.9502774,21.8870001
110+04682,23.9194824,23.1125946,18.0399872,21.8582038
110+04683,23.8477303,22.9461487,18.0189711,21.5641088
110+04684,23.8591981,23.0670546,18.0657476,21.6484918
110+04686,7.2413939,11.5480249,4.1252259,7.9955545
110+04687,7.228486,11.5945106,4.1133014,8.1382701
110+04688,7.309856,11.5569906,4.1155387,8.0985717
110+04689,7.2608913,11.595871,4.1298902,8.1057886
110+04690,7.3526716,11.4890699,4.2251216,8.174088
110+04691,7.3325208,11.4870152,4.2281472,8.1956163
110+04692,7.5414872,11.4251911,4.2573367,8.209098
110+04693,7.5414872,11.4251911,4.2573367,8.209098
110+04694,7.5892119,11.5320143,4.1706957,8.2714588
110+04695,7.5889427,11.5320143,4.1706957,8.2713657
110+04696,7.5892119,11.5320143,4.1706957,8.2714588
110+04697,7.5892119,11.5320143,4.1706957,8.2714588
110+04698,7.8088654,11.3074151,4.2561986,8.1241763
110+04699,7.8088654,11.3074151,4.2561986,8.1241763
110+04700,7.8694667,11.2971819,4.2765322,8.0726002
110+04701,7.9540285,11.2801131,4.2847297,8.0297279
110+04702,3.0976604,2.8103696,1.0630074,2.2347395
110+04703,3.1127031,2.8842205,1.0475566,2.4004555
110+04704,3.1169423,2.869552,1.048567,2.3485531
110+04705,3.113533,2.8798651,1.0447836,2.3418888
110+04706,3.1052908,2.9100357,1.0474787,2.3865555
110+04707,3.1002348,2.9117887,1.0416765,2.3902166
110+04708,3.1251298,2.9321407,1.0325685,2.3606063
110+04709,3.1504217,2.9372257,1.0309055,2.3525753
110+04710,3.1548646,2.9031724,1.0244235,2.269083
110+04711,3.1734873,2.9242569,1.0245585,2.3236374
110+04728,8.5390769,9.0288989,3.4200989,7.039202
110+04729,8.5390769,9.0288989,3.4200989,7.039202
110+04730,8.5514238,9.1617724,3.4267122,7.3154985
110+04731,8.4428933,9.1092299,3.4183923,7.1596105
110+04732,8.3676715,9.1318499,3.4225234,7.1820057
110+04733,8.3676715,9.1316673,3.4225234,7.1819366
110+04734,8.3672607,9.3116927,3.4290404,7.448002
110+04735,8.1271795,9.0758203,3.4142045,7.1991544
110+04736,8.1879916,9.0202848,3.4111715,7.1092067
110+04737,8.2641618,9.1361561,3.4251782,7.2346093
110+04738,8.2641618,9.1361561,3.4251782,7.2346093
110+04739,8.2641618,9.1361561,3.4251782,7.2346093
110+04740,8.5022463,8.4471332,3.4009057,6.7515334
110+04741,8.5505143,8.5055051,3.4017224,6.7833422
110+04742,8.5505143,8.5055051,3.4017224,6.7833422
110+04743,8.5837729,8.5792387,3.4037725,6.8439746
110+04744,8.5981226,8.7035478,3.407799,6.9561364
110+04770,9.2770153,12.467441,9.1463249,10.6630461
110+04771,9.2771553,12.5059715,9.1920774,10.6938857
110+04772,9.1545612,12.4793412,9.2349045,10.5315074
110+04773,9.0353091,12.4460811,9.1730501,10.4252612
110+04774,9.0284083,12.4214522,9.126552,10.3980813
110+04775,9.0075742,12.4239164,9.1370145,10.3969338
110+04776,8.9969675,12.3605247,9.0443308,10.3379742
110+04777,8.9918145,12.386486,9.0754284,10.3572503
110+04785,8.4887918,9.0665327,5.7933636,7.899374
110+04786,8.4903509,9.0635662,5.7770492,7.8918944
110+04787,8.509242,9.0556376,5.7615536,7.8726372
110+04788,8.4963788,9.0417065,5.7424923,7.8695272
110+04789,8.5696841,9.0520956,5.7263532,7.8518766
110+04790,8.5401929,9.0778279,5.7118676,7.9333707
110+04792,7.2698595,7.8623868,4.7256484,6.836406
110+04793,7.2611253,7.8763571,4.7373345,6.8577468
110+04794,7.2770262,7.85491,4.7129522,6.8109602
110+04795,7.3152101,7.8251187,4.7054138,6.7546174
110+04796,7.3152101,7.8251187,4.7054138,6.7546174
110+04798,8.7665081,10.0227482,6.9054491,8.8697135
110+04799,8.6183611,10.0127842,6.9128114,8.7975829
110+04800,8.598716,10.0323303,6.9235622,8.8050629
110+04801,8.4585327,10.0295013,6.9353329,8.7419609
110+04803,8.4002291,10.0338166,6.9506108,8.6851319
110+04804,8.4549828,10.0108867,6.9501713,8.6790058
110+04805,8.4571876,10.0197672,6.9742022,8.6908328
110+04806,8.4571876,10.0197672,6.9742022,8.6908328
110+04807,8.3555887,10.0239325,6.9363784,8.6429521
110+04808,8.3555887,10.0239325,6.9363784,8.6429521
110+04809,8.3248236,10.0106357,6.9426,8.621962
110+04810,8.2928545,10.0002543,6.9497495,8.6019863
110+04811,8.2073961,9.9956583,6.9528649,8.5656534
110+04812,8.2008733,10.0020417,6.9527572,8.565509
110+04813,8.166579,9.9945216,6.9458823,8.5232012
110+04814,8.1266815,10.0454377,6.9881368,8.5800435
110+04815,7.4991326,10.5944106,6.845403,8.5424236
110+04816,7.5750642,10.5720987,6.8429727,8.5764825
110+04817,7.5785564,10.5608623,6.8495765,8.5749293
110+04818,7.5275159,10.5193575,6.8100888,8.4872431
110+04819,7.2217873,7.8493738,4.7182726,6.8308769
110+04820,7.2217873,7.8493738,4.7182726,6.8308769
110+04821,7.2249675,7.8210671,4.7064007,6.7815532
110+04823,3.889427,4.6007082,1.3233024,3.6780649
110+04824,3.889427,4.6007082,1.3233024,3.6780649
110+04825,3.889427,4.6007082,1.3233024,3.6780649
110+04827,11.9814094,15.2328949,11.1766151,13.1016788
110+04828,11.962667,15.2459248,11.2032595,13.1013766
110+04847,1.9348949,3.3991151,1.4840342,2.2350487
110+04848,1.891558,3.4490933,1.4883174,2.3046958
110+04849,1.891558,3.4490933,1.4883174,2.3046958
110+04850,1.8906012,3.4504033,1.4833676,2.3018281
110+04851,1.9053682,3.4454788,1.4920811,2.3396034
110+04852,1.9386549,3.4435818,1.4761805,2.314247
110+04855,9.0513014,11.4772645,5.7389956,9.1406369
110+04856,9.1431967,11.329114,5.8096266,9.0278825
110+04857,9.083312,11.3910399,5.8053976,9.088555
110+04858,3.3943204,4.7719165,2.1052791,3.559267
110+04859,3.388662,4.8230257,2.0907134,3.6288926
110+04860,3.4032524,4.8280846,2.0964955,3.6231605
110+04861,3.3973701,4.8283198,2.0953543,3.6090462
110+04862,3.3946832,4.8858846,2.0906121,3.6469544
110+04863,4.1292318,4.4693242,1.3244175,3.4628427
110+04864,4.031194,4.4029409,1.3243127,3.3824273
110+04865,4.0211265,4.4545364,1.3232484,3.4263972
110+04866,4.0211265,4.4545364,1.3232484,3.4263972
110+04867,4.0418936,4.4938172,1.3135474,3.4712993
110+04868,3.9409811,4.5142523,1.3164765,3.5090006
110+04869,3.8862061,4.5247627,1.312234,3.5629411
110+04870,4.2267249,4.6845823,1.293066,3.8317348
110+04871,4.2267249,4.6845823,1.293066,3.8317348
110+04872,4.2172235,4.4685001,1.3178263,3.536854
110+04873,4.0218566,4.4408454,2.2404286,3.695896
110+04874,3.9919856,4.3957404,2.2499266,3.6626776
110+04875,4.0369008,4.4525614,2.2300195,3.67972
110+04876,3.998916,4.4790706,2.2299414,3.7049803
110+04877,3.998916,4.4790706,2.2299414,3.7049803
110+04878,3.998916,4.4790706,2.2299414,3.7049803
110+04879,4.0032392,4.534748,2.2264543,3.7277158
110+04880,3.9676663,4.3995144,2.2565479,3.6393913
110+04881,3.9674568,4.3995144,2.2565479,3.6393286
110+04882,3.9676663,4.3995144,2.2565479,3.6393913
110+04883,3.9341047,4.4864328,2.2352685,3.680782
110+04884,4.0574132,4.4027507,2.2502451,3.6548129
110+04885,6.6748498,6.8812885,3.1740162,5.6863394
110+04886,6.6577687,6.8999723,3.1747284,5.6959827
110+04887,6.5354016,6.9025295,3.1687276,5.6797661
110+04888,6.5925154,6.833906,3.1735761,5.6237105
110+04889,6.6137756,6.9348474,3.1734063,5.7535639
110+04890,6.5727787,6.9783937,3.1724765,5.7997692
110+04891,6.5730081,6.9783937,3.172186,5.7997584
110+04892,10.8122724,11.9188174,7.0510971,10.2601585
110+04893,10.8487573,11.9749569,7.0743419,10.2896723
110+04894,10.8282246,11.9526544,7.0760152,10.2047004
110+04895,10.8723332,11.866325,7.048102,10.1533269
110+04896,10.8723332,11.8660089,7.048102,10.1531862
110+04897,10.8608786,11.8531016,7.0507592,10.1452733
110+04898,10.8797874,11.8791284,7.034369,10.2197262
110+04899,10.8742391,11.8588444,6.9981014,10.1984986
110+04900,9.3856588,12.5306033,9.6384172,10.8996688
110+04901,9.3814943,12.5412395,9.6508087,10.9070963
110+04902,9.2762564,12.551147,9.6428994,10.8275021
110+04903,9.1569326,12.5663505,9.6594151,10.6615108
