tmc,year,AMP Hour TMS Vol,AMP TMS Vol,AMP Lane TMS Vol,AMP Hour Lane TMS Vol,AMP Hour NPMRDS Vol,AMP NPMRDS Vol,AMP Lane NPMRDS Vol,AMP Hour Lane NPMRDS Vol,MIDD Hour TMS Vol,MIDD TMS Vol,MIDD Lane TMS Vol,MIDD Hour Lane TMS Vol,MIDD Hour NPMRDS Vol,MIDD NPMRDS Vol,MIDD Lane NPMRDS Vol,MIDD Hour Lane NPMRDS Vol,PMP Hour TMS Vol,PMP TMS Vol,PMP Lane TMS Vol,PMP Hour Lane TMS Vol,PMP Hour NPMRDS Vol,PMP NPMRDS Vol,PMP Lane NPMRDS Vol,PMP Hour Lane NPMRDS Vol,WE Hour TMS Vol,WE TMS Vol,WE Lane TMS Vol,WE Hour Lane TMS Vol,WE Hour NPMRDS Vol,WE NPMRDS Vol,WE Lane NPMRDS Vol,WE Hour Lane NPMRDS Vol,AMP NPMRDS straight VoverC,MIDD NPMRDS straight VoverC,PMP NPMRDS straight VoverC,WE NPMRDS straight VoverC,AMP TMS straight VoverC,MIDD TMS straight VoverC,PMP TMS straight VoverC,WE TMS straight VoverC,AMP NPMRDS weighted VoverC,MIDD NPMRDS weighted VoverC,PMP NPMRDS weighted VoverC,WE NPMRDS weighted VoverC,AMP TMS weighted VoverC,MIDD TMS weighted VoverC,PMP TMS weighted VoverC,WE TMS weighted VoverC
110+04121,2017,52.4833067,209.9332268,69.97774227,17.49443557,57.224046,228.896184,76.298728,19.074682,46.01180863,276.0708518,92.02361727,15.33726954,50.1679871,301.0079226,100.3359742,16.72266237,56.11785913,224.4714365,74.82381217,18.70595304,61.18690215,244.7476086,81.5825362,20.39563405,44.40471969,710.475515,236.8251717,14.80157323,48.4157322,774.6517152,258.2172384,16.1385774,0.877360824,0.769177113,0.938119456,0.848355986,0.804675664,0.705454458,0.860400733,0.778073738,0.877588801,0.771612144,0.954038635,0.860563215,0.804884755,0.707687758,0.875001084,0.789269657
110+04121,2018,50.9657115,203.862846,67.954282,16.9885705,65.2787058,261.1148232,87.0382744,21.7595686,44.68134178,268.0880507,89.36268357,14.89378059,57.22946033,343.376762,114.4589207,19.07648678,54.49516805,217.9806722,72.66022407,18.16505602,69.79935995,279.1974398,93.06581327,23.26645332,43.12072305,689.9315688,229.9771896,14.37357435,55.23056406,883.689025,294.5630083,18.41018802,1.000855115,0.877443837,1.070165922,0.967767655,0.781407848,0.685055699,0.835521584,0.755575137,1.001115181,0.880221614,1.088325831,0.981693132,0.781610892,0.687224422,0.849699755,0.766447318
110+04121,2019,51.7169444,206.8677776,68.95592587,17.23898147,62.839381,251.357524,83.78584133,20.94646033,45.33994327,272.0396596,90.67988653,15.11331442,55.09091852,330.5455111,110.181837,18.36363951,55.298425,221.1937,73.73123333,18.43280833,67.19110803,268.7644321,89.58814403,22.39703601,43.75632108,700.1011373,233.3670458,14.58544036,53.1667167,850.6674672,283.5558224,17.7222389,0.963455312,0.844655648,1.030176124,0.93160426,0.792925774,0.695153398,0.847837144,0.76671229,0.963705661,0.847329626,1.047657436,0.945009372,0.793131811,0.697354087,0.862224301,0.777744726
110+04121,2020,44.7289073,178.9156292,59.63854307,14.90963577,60.6944976,242.7779904,80.9259968,20.2314992,39.21357193,235.2814316,78.42714387,13.07119064,53.21051177,319.2630706,106.4210235,17.73683726,47.82645523,191.3058209,63.76860697,15.94215174,64.89768805,259.5907522,86.53025073,21.63256268,37.84393011,605.5028818,201.8342939,12.61464337,51.35198832,821.6318131,273.877271,17.11732944,0.930569894,0.815825194,0.995013339,0.899806007,0.685784975,0.601223685,0.733276675,0.663113479,0.930811698,0.818407902,1.011897964,0.912753565,0.685963173,0.603127015,0.745719827,0.672655203
110+04122,2017,49.28517595,197.1407038,65.71356793,16.42839198,49.81165575,199.246623,66.415541,16.60388525,47.57302628,285.4381577,95.14605257,15.85767543,48.08121637,288.4872982,96.16243273,16.02707212,51.14026528,204.5610611,68.18702037,17.04675509,51.68656175,206.746247,68.91541567,17.22885392,42.94624516,687.1399226,229.0466409,14.31541505,43.40501051,694.4801682,231.4933894,14.46833684,0.757334624,0.731025085,0.785840627,0.75420368,0.749330043,0.723298581,0.777534755,0.746232192,0.760012898,0.731528103,0.798616246,0.759672493,0.75198001,0.723796283,0.790175343,0.751643203
110+04122,2018,47.85995218,191.4398087,63.81326957,15.95331739,53.05018445,212.2007378,70.73357927,17.68339482,46.19731427,277.1838856,92.39462853,15.39910476,51.20723972,307.2434383,102.4144794,17.06907991,49.66139623,198.6455849,66.21519497,16.55379874,55.04698835,220.1879534,73.39598447,18.34899612,41.70432995,667.2692792,222.4230931,13.90144332,46.2270081,739.6321296,246.5440432,15.4090027,0.806573098,0.778553032,0.836932432,0.803238594,0.727660992,0.702382306,0.755050083,0.724652724,0.809425501,0.779088754,0.850538664,0.809062965,0.730234328,0.702865614,0.767325132,0.729907261
110+04122,2019,48.5655029,194.2620116,64.75400387,16.18850097,54.89851273,219.5940509,73.19801697,18.29950424,46.87835442,281.2701265,93.75670883,15.62611814,52.9913577,317.9481462,105.9827154,17.6637859,50.39350383,201.5740153,67.19133843,16.79783461,56.96488753,227.8595501,75.95318337,18.98829584,42.31913459,677.1061534,225.7020511,14.1063782,47.8376092,765.4017472,255.1339157,15.94586973,0.834675014,0.805678698,0.866092102,0.831224332,0.73838816,0.712736816,0.766181021,0.735335544,0.837626799,0.806233085,0.880172391,0.837251631,0.740999432,0.713227249,0.778637028,0.740667543
110+04122,2020,42.00314673,168.0125869,56.00419563,14.00104891,53.8839658,215.5358632,71.84528773,17.96132193,40.5439722,243.2638332,81.0879444,13.5146574,52.01205578,312.0723347,104.0241116,17.33735193,43.58414118,174.3365647,58.11218823,14.52804706,55.91215315,223.6486126,74.54953753,18.63738438,36.60081155,585.6129848,195.2043283,12.20027052,46.95355065,751.2568104,250.4189368,15.65118355,0.819249879,0.790789426,0.850086367,0.815862967,0.638614333,0.616429096,0.662651716,0.635974198,0.822147113,0.791333568,0.863906446,0.821778879,0.640872759,0.61685326,0.67342462,0.640585717
110+04123,2017,51.0137619,204.0550476,51.0137619,12.75344048,49.7618715,199.047486,49.7618715,12.44046788,41.89834275,251.3900565,62.84751413,10.47458569,40.870147,245.220882,61.3052205,10.21753675,49.2213636,196.8854544,49.2213636,12.3053409,48.0134591,192.0538364,48.0134591,12.00336478,40.7706599,652.3305584,163.0826396,10.19266498,39.77013777,636.3222043,159.0805511,9.942534442,0.578774333,0.475355757,0.558438759,0.528641922,0.59333492,0.487314578,0.572487751,0.541941296,0.5833363,0.475730691,0.567118921,0.536973385,0.598011654,0.487698944,0.581386285,0.550482359
110+04123,2018,49.53891518,198.1556607,49.53891518,12.38472879,57.06816823,228.2726729,57.06816823,14.26704206,40.68702975,244.1221785,61.03054463,10.17175744,46.8709145,281.225487,70.30637175,11.71772863,47.79833648,191.1933459,47.79833648,11.94958412,55.06304483,220.2521793,55.06304483,13.76576121,39.59194908,633.4711852,158.3677963,9.897987269,45.60939619,729.7503391,182.4375848,11.40234905,0.663752991,0.545149961,0.640431642,0.606259878,0.576181155,0.473225942,0.555936694,0.526273361,0.668984768,0.545579945,0.650386269,0.615814609,0.580722682,0.473599197,0.564577964,0.534567495
