tmc,year,AMP NPMRDS straight VoverC,MIDD NPMRDS straight VoverC,PMP NPMRDS straight VoverC,WE NPMRDS straight VoverC,AMP TMS straight VoverC,MIDD TMS straight VoverC,PMP TMS straight VoverC,WE TMS straight VoverC,AMP NPMRDS weighted VoverC,MIDD NPMRDS weighted VoverC,PMP NPMRDS weighted VoverC,WE NPMRDS weighted VoverC,AMP TMS weighted VoverC,MIDD TMS weighted VoverC,PMP TMS weighted VoverC,WE TMS weighted VoverC,avg NPMRDS straight VoverC,max NPMRDS straight VoverC,avg TMS straight VoverC,max TMS straight VoverC,avg NPMRDS weighted VoverC,max NPMRDS weighted VoverC,avg TMS weighted VoverC,max TMS weighted VoverC,AMP Hour TMS Vol,AMP TMS Vol,AMP Lane TMS Vol,AMP Hour Lane TMS Vol,AMP Hour NPMRDS Vol,AMP NPMRDS Vol,AMP Lane NPMRDS Vol,AMP Hour Lane NPMRDS Vol,MIDD Hour TMS Vol,MIDD TMS Vol,MIDD Lane TMS Vol,MIDD Hour Lane TMS Vol,MIDD Hour NPMRDS Vol,MIDD NPMRDS Vol,MIDD Lane NPMRDS Vol,MIDD Hour Lane NPMRDS Vol,PMP Hour TMS Vol,PMP TMS Vol,PMP Lane TMS Vol,PMP Hour Lane TMS Vol,PMP Hour NPMRDS Vol,PMP NPMRDS Vol,PMP Lane NPMRDS Vol,PMP Hour Lane NPMRDS Vol,WE Hour TMS Vol,WE TMS Vol,WE Lane TMS Vol,WE Hour Lane TMS Vol,WE Hour NPMRDS Vol,WE NPMRDS Vol,WE Lane NPMRDS Vol,WE Hour Lane NPMRDS Vol
110+04121,2017,0.877360824,0.769177113,0.938119456,0.848355986,0.804675664,0.705454458,0.860400733,0.778073738,0.877588801,0.771612144,0.954038635,0.860563215,0.804884755,0.707687758,0.875001084,0.789269657,0.858253345,0.938119456,0.787151148,0.860400733,0.865950699,0.954038635,0.794210814,0.794210814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04121,2018,1.000855115,0.877443837,1.070165922,0.967767655,0.781407848,0.685055699,0.835521584,0.755575137,1.001115181,0.880221614,1.088325831,0.981693132,0.781610892,0.687224422,0.849699755,0.766447318,0.979058132,1.070165922,0.764390067,0.835521584,0.98783894,1.088325831,0.771245597,0.771245597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04121,2019,0.963455312,0.844655648,1.030176124,0.93160426,0.792925774,0.695153398,0.847837144,0.76671229,0.963705661,0.847329626,1.047657436,0.945009372,0.793131811,0.697354087,0.862224301,0.777744726,0.942472836,1.030176124,0.775657152,0.847837144,0.950925524,1.047657436,0.782613731,0.782613731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04121,2020,0.930569894,0.815825194,0.995013339,0.899806007,0.685784975,0.601223685,0.733276675,0.663113479,0.930811698,0.818407902,1.011897964,0.912753565,0.685963173,0.603127015,0.745719827,0.672655203,0.910303609,0.995013339,0.670849704,0.733276675,0.918467782,1.011897964,0.676866305,0.676866305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04122,2017,0.757334624,0.731025085,0.785840627,0.75420368,0.749330043,0.723298581,0.777534755,0.746232192,0.760012898,0.731528103,0.798616246,0.759672493,0.75198001,0.723796283,0.790175343,0.751643203,0.757101004,0.785840627,0.749098893,0.777534755,0.762457435,0.798616246,0.75439871,0.75439871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04122,2018,0.806573098,0.778553032,0.836932432,0.803238594,0.727660992,0.702382306,0.755050083,0.724652724,0.809425501,0.779088754,0.850538664,0.809062965,0.730234328,0.702865614,0.767325132,0.729907261,0.806324289,0.836932432,0.727436526,0.755050083,0.812028971,0.850538664,0.732583084,0.732583084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04122,2019,0.834675014,0.805678698,0.866092102,0.831224332,0.73838816,0.712736816,0.766181021,0.735335544,0.837626799,0.806233085,0.880172391,0.837251631,0.740999432,0.713227249,0.778637028,0.740667543,0.834417537,0.866092102,0.738160385,0.766181021,0.840320977,0.880172391,0.743382813,0.743382813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04122,2020,0.819249879,0.790789426,0.850086367,0.815862967,0.638614333,0.616429096,0.662651716,0.635974198,0.822147113,0.791333568,0.863906446,0.821778879,0.640872759,0.61685326,0.67342462,0.640585717,0.81899716,0.850086367,0.638417336,0.662651716,0.824791502,0.863906446,0.642934089,0.642934089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04123,2017,0.578774333,0.475355757,0.558438759,0.528641922,0.59333492,0.487314578,0.572487751,0.541941296,0.5833363,0.475730691,0.567118921,0.536973385,0.598011654,0.487698944,0.581386285,0.550482359,0.535302693,0.578774333,0.548769636,0.59333492,0.540789824,0.5833363,0.554394811,0.554394811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04123,2018,0.663752991,0.545149961,0.640431642,0.606259878,0.576181155,0.473225942,0.555936694,0.526273361,0.668984768,0.545579945,0.650386269,0.615814609,0.580722682,0.473599197,0.564577964,0.534567495,0.613898618,0.663752991,0.532904288,0.576181155,0.620191398,0.668984768,0.538366835,0.538366835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04123,2019,0.68827684,0.565291754,0.664093831,0.628659515,0.584671838,0.480199463,0.564129052,0.534028595,0.693701917,0.565737625,0.674416255,0.638567267,0.589280289,0.480578217,0.572897661,0.542444953,0.636580485,0.68827684,0.540757237,0.584671838,0.643105766,0.693701917,0.54630028,0.54630028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04123,2020,0.662977192,0.544512786,0.639683102,0.605551278,0.505669702,0.415313862,0.487902702,0.461869485,0.668202855,0.544942268,0.649626094,0.615094842,0.509655449,0.415641439,0.495486477,0.469148605,0.61318109,0.662977192,0.467688938,0.505669702,0.619466515,0.668202855,0.472482993,0.472482993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04124,2017,0.675105216,0.544933771,0.651937685,0.612698159,0.616685221,0.497778117,0.595522484,0.559678538,0.683932698,0.545820409,0.667046112,0.626154503,0.62474882,0.49858803,0.609323509,0.571970441,0.621168708,0.675105216,0.56741609,0.616685221,0.630738431,0.683932698,0.5761577,0.5761577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04124,2018,0.691221325,0.557942429,0.667500739,0.627324488,0.598848324,0.483380469,0.578297695,0.543490492,0.700259537,0.558850232,0.682969835,0.641102061,0.606678693,0.484166956,0.591699541,0.555426867,0.635997245,0.691221325,0.551004245,0.598848324,0.645795416,0.700259537,0.559493014,0.559493014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04124,2019,0.712543177,0.575153075,0.688090891,0.646675338,0.607676395,0.490506342,0.586822814,0.551502492,0.721860187,0.576088881,0.704037156,0.660877903,0.615622197,0.491304423,0.600422227,0.56361483,0.65561562,0.712543177,0.559127011,0.607676395,0.665716032,0.721860187,0.567740919,0.567740919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04124,2020,0.688943813,0.556104059,0.665301384,0.62525751,0.525563044,0.424225802,0.50752734,0.476979739,0.697952245,0.557008871,0.680719511,0.638989688,0.532435156,0.424916041,0.519289108,0.487455376,0.633901692,0.688943813,0.483573981,0.525563044,0.643667579,0.697952245,0.49102392,0.49102392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04125,2017,0.747070097,0.608413504,0.626405697,0.6531703,0.679633628,0.553493278,0.569861354,0.594209971,0.750913583,0.608883011,0.632460156,0.661757277,0.683130171,0.553920404,0.575369289,0.60202182,0.6587649,0.747070097,0.599299558,0.679633628,0.663503507,0.750913583,0.603610421,0.603610421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04125,2018,0.790796333,0.644024128,0.66306941,0.691400553,0.659975853,0.537483996,0.55337864,0.577022996,0.79486478,0.644521116,0.669478238,0.700490128,0.663371261,0.537898768,0.558727263,0.584608894,0.697322606,0.790796333,0.581965371,0.659975853,0.702338566,0.79486478,0.586151547,0.586151547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04125,2019,0.78165405,0.636578657,0.655403759,0.68340737,0.669707721,0.545409624,0.561538647,0.585531658,0.785675461,0.637069899,0.661738495,0.692391862,0.673153197,0.545830512,0.56696614,0.593229416,0.689260959,0.78165405,0.590546913,0.669707721,0.694218929,0.785675461,0.594794816,0.594794816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04125,2020,0.774295444,0.630585813,0.649233693,0.676973673,0.579217771,0.471714655,0.485664348,0.506415458,0.778278998,0.63107243,0.655508792,0.685873584,0.582197699,0.472078673,0.490358486,0.513073106,0.682772156,0.774295444,0.510753058,0.579217771,0.687683451,0.778278998,0.514426991,0.514426991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04126,2017,0.844287344,0.617782819,0.627501551,0.685275178,0.755716798,0.552973886,0.561673067,0.613385913,0.854814108,0.61907725,0.632492748,0.705569258,0.765139244,0.554132524,0.56614066,0.631551028,0.693711723,0.844287344,0.620937416,0.755716798,0.702988341,0.854814108,0.629240864,0.629240864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04126,2018,0.892908616,0.653360026,0.663638446,0.724739172,0.733858387,0.536979626,0.545427192,0.595644291,0.9040416,0.654729002,0.668917079,0.746201958,0.743008297,0.538104752,0.549765564,0.613283997,0.733661565,0.892908616,0.602977374,0.733858387,0.74347241,0.9040416,0.611040653,0.611040653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04126,2019,0.84540765,0.61860257,0.628334198,0.686184487,0.744679711,0.544897817,0.553469949,0.604427539,0.855948382,0.619898719,0.633332018,0.706505495,0.753964544,0.546039534,0.557872293,0.622327356,0.694632226,0.84540765,0.611868754,0.744679711,0.703921154,0.855948382,0.620050932,0.620050932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04126,2020,0.835988783,0.611710587,0.621333792,0.678539559,0.644059653,0.471272003,0.478685881,0.522758154,0.846412078,0.612992295,0.626275931,0.698634166,0.652089933,0.472259453,0.482493387,0.538239374,0.68689318,0.835988783,0.529193923,0.644059653,0.696078618,0.846412078,0.536270537,0.536270537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04127,2017,0.830741613,0.607871122,0.617433926,0.674280635,0.728895282,0.533348018,0.541738453,0.591615932,0.841099485,0.609144785,0.622345045,0.694249117,0.737983312,0.534465535,0.546047484,0.609136341,0.682581824,0.830741613,0.598899421,0.728895282,0.691709608,0.841099485,0.606908168,0.606908168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04127,2018,0.877755091,0.642271873,0.652375858,0.712439645,0.707819436,0.517926378,0.526074206,0.574509488,0.888699138,0.643617616,0.657564908,0.733538187,0.716644687,0.519011582,0.530258642,0.591523298,0.721210617,0.877755091,0.581582377,0.707819436,0.730854962,0.888699138,0.589359552,0.589359552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04127,2019,0.801951732,0.58680496,0.59603636,0.650913009,0.718247969,0.525557155,0.533825027,0.582973923,0.811950645,0.588034484,0.60077728,0.670189471,0.727203245,0.526658348,0.538071114,0.600238402,0.658926515,0.801951732,0.590151019,0.718247969,0.66773797,0.811950645,0.598042777,0.598042777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04127,2020,0.792819676,0.580122842,0.589249121,0.643500874,0.621198602,0.454544091,0.461694811,0.504202728,0.802704729,0.581338365,0.593936056,0.662557829,0.628943845,0.45549649,0.465367168,0.519134438,0.651423128,0.792819676,0.510410058,0.621198602,0.660134245,0.802704729,0.517235485,0.517235485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04128,2017,0.472360268,0.414531518,0.385935964,0.42288386,0.342781053,0.300816051,0.28006491,0.306877154,0.489900899,0.414930492,0.386847261,0.431533979,0.355509888,0.301105577,0.280726218,0.313154348,0.423927903,0.472360268,0.307634792,0.342781053,0.430803158,0.489900899,0.312624008,0.312624008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04128,2018,0.503768349,0.442094462,0.411597537,0.451002165,0.332868573,0.292117108,0.271966045,0.298002937,0.522475287,0.442519964,0.412569429,0.460227446,0.345229318,0.292398261,0.272608229,0.304098608,0.452115628,0.503768349,0.298738666,0.332868573,0.459448032,0.522475287,0.303583604,0.303583604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04128,2019,0.497378141,0.436486576,0.406376499,0.445281287,0.337776086,0.296423817,0.275975665,0.302396422,0.515847785,0.436906681,0.407336062,0.454389546,0.350319066,0.296709116,0.276627318,0.308581962,0.446380626,0.497378141,0.303142998,0.337776086,0.453620019,0.515847785,0.308059366,0.308059366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04128,2020,0.484500271,0.42518528,0.395854799,0.433752283,0.292132739,0.256368361,0.238683347,0.261533894,0.502491708,0.425594508,0.396789518,0.442624716,0.302980798,0.256615108,0.239246942,0.266883588,0.434823158,0.484500271,0.262179585,0.292132739,0.441875113,0.502491708,0.266431609,0.266431609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04129,2017,0.620404614,0.577039464,0.547282027,0.580927382,0.450814332,0.419303233,0.39768012,0.422128372,0.62571686,0.577493686,0.548933477,0.584520574,0.454674453,0.419633292,0.398880139,0.424739349,0.581413372,0.620404614,0.422481514,0.450814332,0.584166149,0.62571686,0.424481808,0.424481808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04129,2018,0.663468488,0.617093252,0.585270274,0.62125104,0.437779881,0.407179866,0.386181945,0.409923321,0.669149471,0.617579003,0.587036356,0.625093645,0.441528393,0.407500382,0.387347267,0.412458807,0.621770764,0.663468488,0.410266253,0.437779881,0.624714619,0.669149471,0.412208712,0.412208712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04129,2019,0.670779174,0.623892934,0.591719303,0.628096537,0.444229289,0.413178473,0.391871208,0.415962345,0.676522755,0.624384038,0.593504844,0.631981482,0.448033025,0.41350371,0.393053699,0.418535184,0.628621987,0.670779174,0.416310329,0.444229289,0.63159828,0.676522755,0.418281405,0.418281405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04129,2020,0.624907671,0.581227766,0.551254341,0.585143903,0.384204353,0.35734917,0.338920975,0.359756881,0.630258475,0.581685285,0.552917778,0.588763175,0.387494122,0.357630461,0.339943686,0.361982074,0.58563342,0.624907671,0.360057845,0.384204353,0.588406178,0.630258475,0.361762586,0.361762586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04130,2017,0.623067295,0.579516028,0.549630877,0.583420633,0.452749158,0.421102818,0.399386901,0.423940082,0.62840234,0.5799722,0.551289414,0.587029246,0.456625845,0.421434293,0.400592071,0.426562265,0.583908708,0.623067295,0.42429474,0.452749158,0.5866733,0.62840234,0.426303619,0.426303619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04130,2018,0.666315992,0.619741721,0.587782164,0.623917353,0.439658764,0.408927419,0.387839378,0.411682649,0.672021357,0.620229556,0.589555825,0.62777645,0.443423365,0.409249311,0.389009702,0.414229017,0.624439308,0.666315992,0.412027053,0.439658764,0.627395797,0.672021357,0.413977849,0.413977849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04130,2019,0.673658054,0.626570586,0.594258871,0.63079223,0.446135853,0.414951771,0.393553059,0.417747591,0.679426286,0.627063797,0.596052075,0.634693849,0.449955914,0.415278404,0.394740624,0.420331472,0.631319935,0.673658054,0.418097069,0.446135853,0.634309002,0.679426286,0.420076604,0.420076604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04130,2020,0.627589678,0.583722305,0.55362024,0.58765525,0.385853299,0.358882857,0.340375572,0.361300902,0.632963447,0.584181788,0.555290815,0.591290056,0.389157187,0.359165355,0.341402671,0.363535645,0.588146868,0.627589678,0.361603158,0.385853299,0.590931527,0.632963447,0.363315215,0.363315215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04143,2017,0.702481577,0.646028932,0.584251574,0.644507585,0.735316927,0.676225576,0.611560624,0.674633119,0.704135311,0.646079473,0.586533816,0.648299071,0.73704796,0.67627848,0.613949543,0.678601825,0.644317417,0.702481577,0.674434062,0.735316927,0.646261918,0.704135311,0.676469452,0.676469452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110+04143,2018,0.707460431,0.650607677,0.58839247,0.649075548,0.727240763,0.668798426,0.604843705,0.667223459,0.709125886,0.650658576,0.590690888,0.652893905,0.728952783,0.668850749,0.607206386,0.671148577,0.648884032,0.707460431,0.667026588,0.727240763,0.650842314,0.709125886,0.669039624,0.669039624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
