tmc,year,TMS.AADT
110+04801,2017,24064
110+04800,2017,22074
110+04806,2017,31047
110+04805,2017,25160
110+04804,2017,25160
110+04803,2017,19088
110+04849,2017,45907
110+04848,2017,39209
110+04847,2017,12571
110+04824,2017,31767
110+04823,2017,20064
110+04821,2017,70116
110+04828,2017,29597
110+04827,2017,26459
110+04825,2017,12258
110+04820,2017,65544
110+04819,2017,65544
110+04818,2017,59285
110+04813,2017,62121
110+04812,2017,52265
110+04811,2017,53292
110+04810,2017,47365
110+04817,2017,52407
110+04816,2017,53395
110+04815,2017,56061
110+04814,2017,55229
110+04809,2017,55641
110+04808,2017,49030
110+04807,2017,49030
110+04889,2017,62132
110+04888,2017,66692
110+04887,2017,81808
110+04882,2017,51456
110+04881,2017,51456
110+04880,2017,51456
110+04886,2017,71938
110+04885,2017,86623
110+04884,2017,79581
110+04883,2017,58465
110+04879,2017,48058
110+04878,2017,44320
110+04877,2017,44320
110+04876,2017,44320
110+04871,2017,37059
110+04870,2017,37059
110+04875,2017,44320
110+04874,2017,44778
110+04873,2017,42660
110+04872,2017,46074
110+04868,2017,58952
110+04867,2017,66795
110+04866,2017,65318
110+04865,2017,65318
110+04869,2017,60668
110+04860,2017,48897
110+04864,2017,65103
110+04863,2017,87119
110+04862,2017,72503
110+04861,2017,81853
110+04857,2017,47346
110+04856,2017,38594
110+04855,2017,42715
110+04859,2017,49777
110+04858,2017,45172
110+04852,2017,41397
110+04851,2017,45907
110+04850,2017,45907
110+04899,2017,29174
110+04898,2017,32029
110+04893,2017,44826
110+04892,2017,37785
110+04891,2017,41799
110+04890,2017,45209
110+04897,2017,35086
110+04896,2017,32758
110+04895,2017,34032
110+04894,2017,41220
110+04927,2017,76207
110+04926,2017,61498
110+04925,2017,50930
110+04912,2017,27672
110+04911,2017,29741
110+04915,2017,25844
110+04914,2017,27835
110+04913,2017,26164
110+04908,2017,50197
110+04907,2017,41154
110+04906,2017,32574
110+04901,2017,33847
110+04900,2017,33174
110+04905,2017,25291
110+04904,2017,18696
110+04903,2017,37799
110+04902,2017,33696
110P04608,2017,84283
110P04609,2017,84283
110P04606,2017,71627
110P04607,2017,71627
110P04604,2017,93194
110P04605,2017,75725
110P04603,2017,108145
110+04956,2017,37459
110+04955,2017,20912
110+04953,2017,53659
110+04959,2017,31555
110+04958,2017,33792
110+04957,2017,33844
110+04952,2017,37427
110+04951,2017,36559
110+04950,2017,43303
110+04945,2017,62210
110+04944,2017,78083
110+04949,2017,52314
110+04948,2017,55704
110+04947,2017,55704
110+04946,2017,62210
110+04695,2017,50068
110+04694,2017,43215
110+04693,2017,43215
110+04692,2017,43215
110+04699,2017,52219
110+04698,2017,46898
110+04697,2017,46898
110+04696,2017,46898
110+04691,2017,32288
110+04690,2017,34909
110P05542,2017,4092
110P05540,2017,5418
110P05541,2017,6837
110P05508,2017,15007
110P05509,2017,15007
110P05506,2017,11532
110P05507,2017,15081
110P05504,2017,17635
110P05503,2017,17063
110P05500,2017,30713
