tmc,hour,truck pct
110+04121,0,2.470093291
110+04121,1,2.470093291
110+04121,2,2.470093291
110+04121,3,2.470093291
110+04121,4,2.470093291
110+04121,5,2.470093291
110+04121,6,2.470093291
110+04121,7,2.470093291
110+04121,8,2.470093291
110+04121,9,2.470093291
110+04121,10,2.470093291
110+04121,11,2.470093291
110+04121,12,2.470093291
110+04121,13,2.470093291
110+04121,14,2.470093291
110+04121,15,2.470093291
110+04121,16,2.470093291
110+04121,17,2.470093291
110+04121,18,2.470093291
110+04121,19,2.470093291
110+04121,20,2.470093291
110+04121,21,2.470093291
110+04121,22,2.470093291
110+04121,23,2.470093291
110+04122,0,2.47167693
110+04122,1,2.47167693
110+04122,2,2.47167693
110+04122,3,2.47167693
110+04122,4,2.47167693
110+04122,5,2.47167693
110+04122,6,2.47167693
110+04122,7,2.47167693
110+04122,8,2.47167693
110+04122,9,2.47167693
110+04122,10,2.47167693
110+04122,11,2.47167693
110+04122,12,2.47167693
110+04122,13,2.47167693
110+04122,14,2.47167693
110+04122,15,2.47167693
110+04122,16,2.47167693
110+04122,17,2.47167693
110+04122,18,2.47167693
110+04122,19,2.47167693
110+04122,20,2.47167693
110+04122,21,2.47167693
110+04122,22,2.47167693
110+04122,23,2.47167693
110+04123,0,2.478528521
110+04123,1,2.478528521
110+04123,2,2.478528521
110+04123,3,2.478528521
110+04123,4,2.478528521
110+04123,5,2.478528521
110+04123,6,2.478528521
110+04123,7,2.478528521
110+04123,8,2.478528521
110+04123,9,2.478528521
110+04123,10,2.478528521
110+04123,11,2.478528521
110+04123,12,2.478528521
110+04123,13,2.478528521
110+04123,14,2.478528521
110+04123,15,2.478528521
110+04123,16,2.478528521
110+04123,17,2.478528521
110+04123,18,2.478528521
110+04123,19,2.478528521
110+04123,20,2.478528521
110+04123,21,2.478528521
110+04123,22,2.478528521
110+04123,23,2.478528521
110+04124,0,2.472877598
110+04124,1,2.472877598
110+04124,2,2.472877598
110+04124,3,2.472877598
110+04124,4,2.472877598
110+04124,5,2.472877598
110+04124,6,2.472877598
110+04124,7,2.472877598
110+04124,8,2.472877598
110+04124,9,2.472877598
110+04124,10,2.472877598
110+04124,11,2.472877598
110+04124,12,2.472877598
110+04124,13,2.472877598
110+04124,14,2.472877598
110+04124,15,2.472877598
110+04124,16,2.472877598
110+04124,17,2.472877598
110+04124,18,2.472877598
110+04124,19,2.472877598
110+04124,20,2.472877598
110+04124,21,2.472877598
110+04124,22,2.472877598
110+04124,23,2.472877598
110+04125,0,2.472011716
110+04125,1,2.472011716
110+04125,2,2.472011716
110+04125,3,2.472011716
110+04125,4,2.472011716
110+04125,5,2.472011716
110+04125,6,2.472011716
110+04125,7,2.472011716
110+04125,8,2.472011716
110+04125,9,2.472011716
110+04125,10,2.472011716
110+04125,11,2.472011716
110+04125,12,2.472011716
110+04125,13,2.472011716
110+04125,14,2.472011716
110+04125,15,2.472011716
110+04125,16,2.472011716
110+04125,17,2.472011716
110+04125,18,2.472011716
110+04125,19,2.472011716
110+04125,20,2.472011716
110+04125,21,2.472011716
110+04125,22,2.472011716
110+04125,23,2.472011716
110+04126,0,2.472011716
110+04126,1,2.472011716
110+04126,2,2.472011716
110+04126,3,2.472011716
110+04126,4,2.472011716
110+04126,5,2.472011716
110+04126,6,2.472011716
110+04126,7,2.472011716
110+04126,8,2.472011716
110+04126,9,2.472011716
110+04126,10,2.472011716
110+04126,11,2.472011716
110+04126,12,2.472011716
110+04126,13,2.472011716
110+04126,14,2.472011716
110+04126,15,2.472011716
110+04126,16,2.472011716
110+04126,17,2.472011716
110+04126,18,2.472011716
