tmc,hour,vol.fraction
110+04121,0,0.006215
110+04121,1,0.003927
110+04121,2,0.003892
110+04121,3,0.007953
110+04121,4,0.023956
110+04121,5,0.058251
110+04121,6,0.058181
110+04121,7,0.057967
110+04121,8,0.059618
110+04121,9,0.056994
110+04121,10,0.051729
110+04121,11,0.04742
110+04121,12,0.049424
110+04121,13,0.049847
110+04121,14,0.050988
110+04121,15,0.056681
110+04121,16,0.066504
110+04121,17,0.071399
110+04121,18,0.061384
110+04121,19,0.049592
110+04121,20,0.037718
110+04121,21,0.032053
110+04121,22,0.024663
110+04121,23,0.013646
110+04122,0,0.007939
110+04122,1,0.004878
110+04122,2,0.004447
110+04122,3,0.007998
110+04122,4,0.021674
110+04122,5,0.05017
110+04122,6,0.060869
110+04122,7,0.051433
110+04122,8,0.056542
110+04122,9,0.057113
110+04122,10,0.054534
110+04122,11,0.053825
110+04122,12,0.054296
110+04122,13,0.053252
110+04122,14,0.053667
110+04122,15,0.057587
110+04122,16,0.063681
110+04122,17,0.064719
110+04122,18,0.060036
110+04122,19,0.046026
110+04122,20,0.037265
110+04122,21,0.034264
110+04122,22,0.027382
110+04122,23,0.016405
110+04123,0,0.005915
110+04123,1,0.003574
110+04123,2,0.003644
110+04123,3,0.008129
110+04123,4,0.022698
110+04123,5,0.057421
110+04123,6,0.069428
110+04123,7,0.063905
110+04123,8,0.058946
110+04123,9,0.054764
110+04123,10,0.051335
110+04123,11,0.048489
110+04123,12,0.050646
110+04123,13,0.049994
110+04123,14,0.050659
110+04123,15,0.053227
110+04123,16,0.062052
110+04123,17,0.068175
110+04123,18,0.060394
110+04123,19,0.047742
110+04123,20,0.037817
110+04123,21,0.032807
110+04123,22,0.024981
110+04123,23,0.013259
110+04124,0,0.005912
110+04124,1,0.003682
110+04124,2,0.003688
110+04124,3,0.008326
110+04124,4,0.022823
110+04124,5,0.05769
110+04124,6,0.071598
110+04124,7,0.065539
110+04124,8,0.05894
110+04124,9,0.052605
110+04124,10,0.04918
110+04124,11,0.04812
110+04124,12,0.049775
110+04124,13,0.048825
110+04124,14,0.05092
110+04124,15,0.054278
110+04124,16,0.062512
110+04124,17,0.071721
110+04124,18,0.059712
110+04124,19,0.046203
110+04124,20,0.037055
110+04124,21,0.031829
110+04124,22,0.025365
110+04124,23,0.0137
110+04125,0,0.006119
110+04125,1,0.003835
110+04125,2,0.003596
110+04125,3,0.008233
110+04125,4,0.023477
110+04125,5,0.054905
110+04125,6,0.071897
110+04125,7,0.068216
110+04125,8,0.063255
110+04125,9,0.059521
110+04125,10,0.053885
110+04125,11,0.054549
110+04125,12,0.053179
110+04125,13,0.051299
110+04125,14,0.05234
110+04125,15,0.055893
110+04125,16,0.057991
110+04125,17,0.058862
110+04125,18,0.057827
110+04125,19,0.045748
110+04125,20,0.030578
110+04125,21,0.028348
110+04125,22,0.022903
110+04125,23,0.013544
110+04126,0,0.0062
110+04126,1,0.003646
110+04126,2,0.003646
110+04126,3,0.006996
110+04126,4,0.021616
110+04126,5,0.050749
