tmc,ref spd
110+04847,65
110P04847,80
110+04848,67
110P04848,67
110+04849,68
110P04849,70
110+04850,69
110P04850,70
110+04851,69
110P04851,64
110+04852,62
110P04852,62
110N04852,68
110-04851,62
110N04851,62
110-04850,63
110N04850,63
110-04849,64
110N04849,65
110-04848,67
110N04848,69
110-04847,69
110-04846,77
110N04847,85
110+04686,67
110P04686,67
110+04687,67
110P04687,67
110+04688,67
110P04688,66
110+04689,66
110P04689,67
110+04690,65
110+04691,65
110P04691,62
110+04692,62
110P04692,60
110+04693,60
110P04693,69
110+04694,71
110P04694,71
110+04695,63
110+04696,63
110P04696,65
110+04697,67
110P04697,66
110+04698,65
110P04698,65
110+04699,65
110P04699,66
110+04700,66
110P04700,69
110+04701,67
110P04701,68
110+04702,70
110P04702,69
110+04703,69
110P04703,70
110+04704,69
110P04704,70
110+04705,69
110P04705,70
110+04706,70
110P04706,69
110+04707,70
110P04707,81
110+04708,78
110P04708,88
110+04709,72
110P04709,71
110+04710,81
110P04710,66
110+04711,61
110N04710,83
110-04709,74
110N04709,76
110-04708,86
110N04708,71
110-04707,69
110N04707,70
110-04706,69
110N04706,71
110-04705,69
110N04705,71
110-04704,73
110N04704,72
110-04703,72
110N04703,70
110-04702,70
110N04702,71
110-04701,71
110N04701,71
110-04700,68
110N04700,68
110-04699,68
110N04699,70
110-04698,71
110N04698,70
110-04697,66
110-04694,59
110N04694,57
110-04693,56
110N04693,61
110-04692,61
110N04692,63
110-04691,65
110N04691,65
110-04690,65
110-04689,66
110N04689,67
110-04688,68
110N04688,67
110-04687,68
110N04687,67
110-04686,67
110N04686,67
110-04685,67
110+04770,72
110P04770,73
110+04771,72
110P04771,73
110+16029,73
110P16029,73
110+04772,72
110P04772,73
110+04773,71
110P04773,73
110+15859,72
110P15859,73
110+04774,72
110P04774,74
110+04775,73
110P04775,74
110+04776,72
110P04776,72
110+04777,73
110+10918,71
110P10918,71
110+10919,71
110P10919,72
110+10920,71
110P10920,72
110+10921,71
110P10921,71
110+04953,70
110+04955,72
110P04954,71
110P04955,72
110+04956,71
110P04956,73
110+04957,72
110P04957,73
110+04958,73
110P04958,73
110+04959,71
110-04958,73
110N04958,73
110-04957,73
110N04957,73
110-04956,72
110N04956,73
110-04955,72
110N04955,75
110-04954,73
110-04953,72
110N04954,73
110-10921,71
110N10921,71
110-10920,71
110N10920,72
110-10919,72
110N10919,72
110-10918,72
