year,tmc_code,Urban_Code,miles,nhs_pct,miles on NHS
2017,110-04120,92242,1.516978,100,1.517
2017,110-04121,92242,1.119089,100,1.119
2017,110-04122,92242,0.935107,100,0.935
2017,110-04123,92242,0.18584,100,0.186
2017,110-04124,92242,0.11678,100,0.117
2017,110-04125,92242,0.444255,100,0.444
2017,110-04126,92242,0.533062,100,0.533
2017,110-04127,92242,1.013655,100,1.014
2017,110-04128,92242,0.030223,100,0.03
2017,110-04130,92242,0.028595,100,0.029
2017,110-04142,31600,0.853664,100,0.854
2017,110-04143,31600,6.293848,100,6.294
2017,110-04144,92242,2.654267,100,2.654
2017,110-04145,92242,4.160104,100,4.16
2017,110-04146,92242,1.86996,100,1.87
2017,110-04147,92242,1.896182,100,1.896
2017,110-04148,92242,2.338107,100,2.338
2017,110-04149,92242,0.139603,100,0.14
2017,110-04150,92242,0.872908,100,0.873
2017,110-04151,92242,1.418105,100,1.418
2017,110-04152,92242,0.393893,100,0.394
2017,110-04153,92242,1.754795,100,1.755
2017,110-04154,92242,2.638093,100,2.638
2017,110-04156,92242,2.057782,100,2.058
2017,110-04158,92242,1.070976,100,1.071
2017,110-04162,92242,0.132023,100,0.132
2017,110-04163,92242,0.154311,100,0.154
2017,110-04164,92242,0.521548,100,0.522
2017,110-04165,92242,0.712458,100,0.712
2017,110-04166,92242,0.839249,100,0.839
2017,110-04167,92242,0.291672,100,0.292
2017,110-04168,92242,1.577791,100,1.578
2017,110-04169,92242,0.295847,100,0.296
2017,110-04170,92242,0.079032,100,0.079
2017,110-04171,92242,0.109312,100,0.109
2017,110-04172,92242,0.972943,100,0.973
2017,110-04173,92242,0.018722,100,0.019
2017,110-04174,92242,1.174236,100,1.174
2017,110-04175,92242,1.976942,100,1.977
2017,110-04176,92242,0.243385,100,0.243
2017,110-04177,92242,1.126471,100,1.126
2017,110-04178,92242,1.041163,100,1.041
2017,110-04179,92242,0.654123,100,0.654
2017,110-04180,92242,0.777018,100,0.777
2017,110-04181,92242,1.679137,100,1.679
2017,110-04182,92242,0.818426,100,0.818
2017,110-04183,92242,4.28559,100,4.286
2017,110-04184,92242,2.078045,100,2.078
2017,110-04185,92242,0.408322,100,0.408
2017,110-04186,92242,1.728729,100,1.729
2017,110-04187,99999,8.238211,100,8.238
2017,110-04188,99999,2.570525,100,2.571
2017,110-04189,99999,0.906332,100,0.906
2017,110-04190,99999,3.266516,100,3.267
2017,110-04191,99999,0.582287,100,0.582
2017,110-04192,99999,3.56698,100,3.567
2017,110-04193,99999,3.851313,100,3.851
2017,110-04194,99998,0.020052,100,0.02
2017,110-04226,92242,2.324512,100,2.325
2017,110-04227,92242,0.063461,100,0.063
2017,110-04228,92242,0.492884,100,0.493
2017,110-04229,92242,0.095486,100,0.095
2017,110-04230,92242,0.770904,100,0.771
2017,110-04231,92242,2.421073,100,2.421
2017,110-04232,92242,0.952773,100,0.953
2017,110-04233,92242,0.515918,100,0.516
2017,110-04234,92242,0.494058,100,0.494
2017,110-04235,92242,0.628902,100,0.629
2017,110-04236,92242,0.251444,100,0.251
2017,110-04237,92242,0.176289,100,0.176
2017,110-04238,92242,0.170604,100,0.171
