tmc_code,year,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110+04121,2017,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04121,2018,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04121,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04121,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04122,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04122,2018,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04122,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04122,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04123,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04123,2018,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04123,2019,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04123,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04124,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04124,2018,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04124,2019,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04124,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04126,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04126,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04126,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04126,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04127,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04127,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04127,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04127,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04128,2017,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04128,2018,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04128,2019,Unrel,Rel,Unrel,Unrel,Unrel,Unrel
110+04128,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04129,2017,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04129,2018,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04129,2019,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04129,2020,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04130,2017,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04130,2018,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04130,2019,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+04130,2020,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04131,2017,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04131,2018,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04142,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04142,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04143,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04143,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04143,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04143,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04144,2017,Unrel,Rel,Rel,Unrel,Unrel,Unrel
110+04144,2018,Rel,Rel,Rel,Unrel,Unrel,Rel
110+04144,2019,Rel,Rel,Rel,Unrel,Unrel,Rel
110+04144,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04145,2017,Unrel,Rel,Rel,Unrel,Unrel,Unrel
110+04145,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04145,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04145,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04146,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04146,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04146,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04146,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04147,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04147,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04147,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04147,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04148,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04148,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04148,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04148,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04149,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04149,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04149,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04149,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04150,2017,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04150,2018,Unrel,Unrel,Rel,Unrel,Unrel,Unrel
110+04150,2019,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04150,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04151,2017,Unrel,Unrel,Rel,Unrel,Unrel,Unrel
110+04151,2018,Unrel,Unrel,Rel,Unrel,Unrel,Unrel
110+04151,2019,Unrel,Unrel,Rel,Unrel,Unrel,Unrel
110+04151,2020,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04152,2017,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04152,2018,Rel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04152,2019,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+04152,2020,Unrel,Rel,Rel,Unrel,Unrel,Unrel
110+04153,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04153,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04153,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04153,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04154,2017,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04154,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04154,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04154,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04155,2017,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+04155,2018,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+04155,2019,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+04155,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04156,2017,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+04156,2018,Rel,Unrel,Rel,Unrel,Unrel,Unrel
110+04156,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04156,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04157,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04157,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04157,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04157,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04158,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04158,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04158,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04158,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04159,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04159,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04159,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04159,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04163,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04163,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04163,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04163,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04164,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04164,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04164,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04164,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04165,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04165,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04165,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04165,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04166,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04166,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04166,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04166,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04167,2017,Rel,Unrel,Unrel,Rel,Unrel,Unrel
110+04167,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04167,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04167,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04168,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04168,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04168,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04168,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04169,2017,Unrel,Unrel,Unrel,Rel,Unrel,Unrel
110+04169,2018,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04169,2019,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04169,2020,Rel,Rel,Rel,Rel,Rel,Rel
110+04170,2017,Rel,Rel,Rel,Rel,Rel,Rel
110+04170,2018,Rel,Rel,Rel,Rel,Rel,Rel
110+04170,2019,Rel,Rel,Rel,Rel,Rel,Rel
110+04170,2020,Rel,Rel,Rel,Rel,Rel,Rel
