tmc_code,year,AMP LOTTR,MIDD LOTTR,PMP LOTTR,WE LOTTR,max LOTTR,max WD LOTTR,obs AMP rel_unrel,obs MIDD rel_unrel,obs PMP rel_unrel,obs WE rel_unrel,obs rel_unrel,obs rel_unrel WD
110+04121,2017,1.630509967,1.064511301,2.117883137,1.06723869,2.117883137,2.117883137,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04121,2018,1.740386385,1.115128876,2.34002006,1.093984375,2.34002006,2.34002006,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04121,2019,1.458376963,1.175572519,1.375509226,1.171609332,1.458376963,1.458376963,Rel,Rel,Rel,Rel,Rel,Rel
110+04121,2020,1.189473684,1.067106284,1.121732345,1.082805239,1.189473684,1.189473684,Rel,Rel,Rel,Rel,Rel,Rel
110+04122,2017,2.413948919,1.050634848,1.289167152,1.060601215,2.413948919,2.413948919,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04122,2018,2.206147002,2.081971871,1.223622047,1.088027617,2.206147002,2.206147002,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04122,2019,2.332435512,1.116384915,1.17316673,1.079005832,2.332435512,2.332435512,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04122,2020,1.082652378,1.047943302,1.078360792,1.058702972,1.082652378,1.082652378,Rel,Rel,Rel,Rel,Rel,Rel
110+04123,2017,1.552542944,1.052204176,1.10806142,1.056619145,1.552542944,1.552542944,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04123,2018,1.571913655,2.511025358,1.104563836,1.089170692,2.511025358,2.511025358,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04123,2019,1.704259368,1.953830543,1.063472419,1.059359068,1.953830543,1.953830543,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04123,2020,1.197524497,1.040662109,1.052738337,1.046774802,1.197524497,1.197524497,Rel,Rel,Rel,Rel,Rel,Rel
110+04124,2017,1.620465349,1.052293578,1.078449053,1.059334298,1.620465349,1.620465349,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04124,2018,1.524850043,2.229493892,1.10519248,1.091642925,2.229493892,2.229493892,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04124,2019,1.627963526,1.947741364,1.070416095,1.072727273,1.947741364,1.947741364,Unrel,Unrel,Rel,Rel,Unrel,Unrel
110+04124,2020,1.192080109,1.04784689,1.061794998,1.052392947,1.192080109,1.192080109,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2017,1.316301703,1.051118211,1.06885759,1.062394604,1.316301703,1.316301703,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2018,1.390736342,1.263399694,1.093312597,1.081125828,1.390736342,1.390736342,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2019,1.363095238,1.227272727,1.078125,1.073170732,1.363095238,1.363095238,Rel,Rel,Rel,Rel,Rel,Rel
110+04125,2020,1.119047619,1.049180328,1.067226891,1.060869565,1.119047619,1.119047619,Rel,Rel,Rel,Rel,Rel,Rel
110+04126,2017,1.845183486,1.070432357,1.119661017,1.074235808,1.845183486,1.845183486,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04126,2018,1.892145703,1.120805369,1.112325026,1.093023256,1.892145703,1.892145703,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04126,2019,1.943028486,1.109947644,1.153439153,1.098696462,1.943028486,1.943028486,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04126,2020,1.11380597,1.070075758,1.086538462,1.077380952,1.11380597,1.11380597,Rel,Rel,Rel,Rel,Rel,Rel
110+04127,2017,1.91042291,1.036691789,1.057221242,1.048039417,1.91042291,1.91042291,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04127,2018,1.980637813,1.066189278,1.087252235,1.066448579,1.980637813,1.980637813,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04127,2019,1.739933444,1.078542195,1.090836335,1.066930776,1.739933444,1.739933444,Unrel,Rel,Rel,Rel,Unrel,Unrel
110+04127,2020,1.080601938,1.041613588,1.057142857,1.049451779,1.080601938,1.080601938,Rel,Rel,Rel,Rel,Rel,Rel
110+04128,2017,3.914943609,1.133196721,3.320999075,1.100320171,3.914943609,3.914943609,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04128,2018,3.409071993,1.152064451,4.886164623,1.278876171,4.886164623,4.886164623,Unrel,Rel,Unrel,Rel,Unrel,Unrel
110+04128,2019,3.31598063,1.417417417,5.598484848,4.279141104,5.598484848,5.598484848,Unrel,Rel,Unrel,Unrel,Unrel,Unrel
110+04128,2020,1.347402597,1.09602649,1.179401993,1.090592334,1.347402597,1.347402597,Rel,Rel,Rel,Rel,Rel,Rel
110+04129,2017,1.560464079,1.843530049,2.664779162,1.595102506,2.664779162,2.664779162,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
110+04129,2018,1.525245442,1.833070866,2.405883484,3.000529381,3.000529381,2.405883484,Unrel,Unrel,Unrel,Unrel,Unrel,Unrel
