tmc,year,AMP Hour TMS,AMP TMS,AMP Lane TMS,AMP Hour Lane TMS,AMP Hour NPMRDS,AMP NPMRDS,AMP Lane NPMRDS,AMP Hour Lane NPMRDS,MIDD Hour TMS,MIDD TMS,MIDD Lane TMS,MIDD Hour Lane TMS,MIDD Hour NPMRDS,MIDD NPMRDS,MIDD Lane NPMRDS,MIDD Hour Lane NPMRDS,PMP Hour TMS,PMP TMS,PMP Lane TMS,PMP Hour Lane TMS,PMP Hour NPMRDS,PMP NPMRDS,PMP Lane NPMRDS,PMP Hour Lane NPMRDS,WE Hour TMS,WE TMS,WE Lane TMS,WE Hour Lane TMS,WE Hour NPMRDS,WE NPMRDS,WE Lane NPMRDS,WE Hour Lane NPMRDS
110+04121,2017,5248.33067,20993.32268,6997.774227,1749.443557,5722.4046,22889.6184,7629.8728,1907.4682,4601.180863,27607.08518,9202.361727,1533.726954,5016.79871,30100.79226,10033.59742,1672.266237,5611.785913,22447.14365,7482.381217,1870.595304,6118.690215,24474.76086,8158.25362,2039.563405,5074.825107,71047.5515,23682.51717,1691.608369,5533.226537,77465.17152,25821.72384,1844.408846
110+04121,2018,5096.57115,20386.2846,6795.4282,1698.85705,6527.87058,26111.48232,8703.82744,2175.95686,4468.134178,26808.80507,8936.268357,1489.378059,5722.946033,34337.6762,11445.89207,1907.648678,5449.516805,21798.06722,7266.022407,1816.505602,6979.935995,27919.74398,9306.581327,2326.645332,4928.082634,68993.15688,22997.71896,1642.694211,6312.064464,88368.9025,29456.30083,2104.021488
110+04121,2019,5171.69444,20686.77776,6895.592587,1723.898147,6283.9381,25135.7524,8378.584133,2094.646033,4533.994327,27203.96596,9067.988653,1511.331442,5509.091852,33054.55111,11018.1837,1836.363951,5529.8425,22119.37,7373.123333,1843.280833,6719.110803,26876.44321,8958.814403,2239.703601,5000.722409,70010.11373,23336.70458,1666.90747,6076.196194,85066.74672,28355.58224,2025.398731
110+04121,2020,4472.89073,17891.56292,5963.854307,1490.963577,6069.44976,24277.79904,8092.59968,2023.14992,3921.357193,23528.14316,7842.714387,1307.119064,5321.051177,31926.30706,10642.10235,1773.683726,4782.645523,19130.58209,6376.860697,1594.215174,6489.768805,25959.07522,8653.025073,2163.256268,4325.020584,60550.28818,20183.42939,1441.673528,5868.798665,82163.18131,27387.7271,1956.266222
110+04122,2017,4928.517595,19714.07038,6571.356793,1642.839198,4981.165575,19924.6623,6641.5541,1660.388525,4757.302628,28543.81577,9514.605257,1585.767543,4808.121637,28848.72982,9616.243273,1602.707212,5114.026528,20456.10611,6818.702037,1704.675509,5168.656175,20674.6247,6891.541567,1722.885392,4908.142304,68713.99226,22904.66409,1636.047435,4960.57263,69448.01682,23149.33894,1653.52421
110+04122,2018,4785.995218,19143.98087,6381.326957,1595.331739,5305.018445,21220.07378,7073.357927,1768.339482,4619.731427,27718.38856,9239.462853,1539.910476,5120.723972,30724.34383,10241.44794,1706.907991,4966.139623,19864.55849,6621.519497,1655.379874,5504.698835,22018.79534,7339.598447,1834.899612,4766.209137,66726.92792,22242.30931,1588.736379,5283.08664,73963.21296,24654.40432,1761.02888
110+04122,2019,4856.55029,19426.20116,6475.400387,1618.850097,5489.851273,21959.40509,7319.801697,1829.950424,4687.835442,28127.01265,9375.670883,1562.611814,5299.13577,31794.81462,10598.27154,1766.37859,5039.350383,20157.40153,6719.133843,1679.783461,5696.488753,22785.95501,7595.318337,1898.829584,4836.472524,67710.61534,22570.20511,1612.157508,5467.155337,76540.17472,25513.39157,1822.385112
110+04122,2020,4200.314673,16801.25869,5600.419563,1400.104891,5388.39658,21553.58632,7184.528773,1796.132193,4054.39722,24326.38332,8108.79444,1351.46574,5201.205578,31207.23347,10402.41116,1733.735193,4358.414118,17433.65647,5811.218823,1452.804706,5591.215315,22364.86126,7454.953753,1863.738438,4182.949891,58561.29848,19520.43283,1394.31663,5366.120074,75125.68104,25041.89368,1788.706691
110+04123,2017,5101.37619,20405.50476,5101.37619,1275.344048,4976.18715,19904.7486,4976.18715,1244.046788,4189.834275,25139.00565,6284.751413,1047.458569,4087.0147,24522.0882,6130.52205,1021.753675,4922.13636,19688.54544,4922.13636,1230.53409,4801.34591,19205.38364,4801.34591,1200.336478,4659.503989,65233.05584,16308.26396,1164.875997,4545.158602,63632.22043,15908.05511,1136.289651
110+04123,2018,4953.891518,19815.56607,4953.891518,1238.472879,5706.816823,22827.26729,5706.816823,1426.704206,4068.702975,24412.21785,6103.054463,1017.175744,4687.09145,28122.5487,7030.637175,1171.772863,4779.833648,19119.33459,4779.833648,1194.958412,5506.304483,22025.21793,5506.304483,1376.576121,4524.79418,63347.11852,15836.77963,1131.198545,5212.502422,72975.03391,18243.75848,1303.125606
110+04123,2019,5026.892725,20107.5709,5026.892725,1256.723181,5917.668023,23670.67209,5917.668023,1479.417006,4128.659925,24771.95955,6192.989888,1032.164981,4860.2666,29161.5996,7290.3999,1215.06665,4850.269915,19401.07966,4850.269915,1212.567479,5709.747303,22838.98921,5709.747303,1427.436826,4591.472151,64280.61011,16070.15253,1147.868038,5405.090064,75671.2609,18917.81523,1351.272516
