tmc,year,AMP Vol,MIDD Vol,PMP Vol,WE Vol,max Vol,max WD Vol
110+04121,2017,52.4833067,46.01180863,56.11785913,50.74825107,50.74825107,56.11785913
110+04121,2018,50.9657115,44.68134178,54.49516805,49.28082634,49.28082634,54.49516805
110+04121,2019,51.7169444,45.33994327,55.298425,50.00722409,50.00722409,55.298425
110+04121,2020,44.7289073,39.21357193,47.82645523,43.25020584,43.25020584,47.82645523
110+04122,2017,49.28517595,47.57302628,51.14026528,49.08142304,49.08142304,51.14026528
110+04122,2018,47.85995218,46.19731427,49.66139623,47.66209137,47.66209137,49.66139623
110+04122,2019,48.5655029,46.87835442,50.39350383,48.36472524,48.36472524,50.39350383
110+04122,2020,42.00314673,40.5439722,43.58414118,41.82949891,41.82949891,43.58414118
110+04123,2017,51.0137619,41.89834275,49.2213636,46.59503989,46.59503989,51.0137619
110+04123,2018,49.53891518,40.68702975,47.79833648,45.2479418,45.2479418,49.53891518
110+04123,2019,50.26892725,41.28659925,48.50269915,45.91472151,45.91472151,50.26892725
110+04123,2020,43.47647998,35.70786375,41.94890848,39.71062401,39.71062401,43.47647998
110+04124,2017,53.02708458,42.80258618,51.2073584,48.12523493,48.12523493,53.02708458
110+04124,2018,51.49333833,41.56457158,49.72624563,46.73326895,46.73326895,51.49333833
110+04124,2019,52.25244013,42.17730602,50.4592974,47.42219901,47.42219901,52.25244013
110+04124,2020,45.19173645,36.4780227,43.6408953,41.01419023,41.01419023,45.19173645
110+04125,2017,59.85062418,48.74231762,50.18374063,52.32795464,52.32795464,59.85062418
110+04125,2018,58.11950013,47.33249107,48.73222225,50.81441684,50.81441684,58.11950013
110+04125,2019,58.97651825,48.0304462,49.45081753,51.56371574,51.56371574,58.97651825
110+04125,2020,51.00769545,41.540641,42.76909378,44.5965002,44.5965002,51.00769545
110+04126,2017,64.98310395,47.5495048,48.2975361,52.74425635,52.74425635,64.98310395
110+04126,2018,63.10352765,46.17417925,46.90057445,51.21867741,51.21867741,63.10352765
110+04126,2019,64.03403923,46.85505417,47.59216063,51.97393745,51.97393745,64.03403923
110+04126,2020,55.3818514,40.52406625,41.16157593,44.95129334,44.95129334,55.3818514
110+04127,2017,64.1896002,46.9688814,47.70777855,52.10020025,52.10020025,64.1896002
110+04127,2018,62.33357213,45.6107866,46.3283187,50.59373449,50.59373449,62.33357213
110+04127,2019,63.2519528,46.28278507,47.0108888,51.33914834,51.33914834,63.2519528
110+04127,2020,54.7053752,40.02907437,40.65879703,44.40222394,44.40222394,54.7053752
110+04128,2017,30.18632833,26.49076428,24.66335655,27.02452323,27.02452323,30.18632833
110+04128,2018,29.31340565,25.72470923,23.95014615,26.24303304,26.24303304,29.31340565
110+04128,2019,29.74557593,26.10397103,24.3032454,26.62993654,26.62993654,29.74557593
110+04128,2020,25.72608575,22.57656732,21.01917195,23.03145962,23.03145962,25.72608575
110+04129,2017,38.70756158,36.00197367,34.14538233,36.24454411,36.24454411,38.70756158
110+04129,2018,37.588405,34.9610441,33.1581326,35.19660106,35.19660106,37.588405
110+04129,2019,38.1421604,35.47609302,33.64662088,35.71512023,35.71512023,38.1421604
110+04129,2020,32.98833375,30.68250943,29.10023835,30.88923892,30.88923892,32.98833375
110+04130,2017,38.70756158,36.00197367,34.14538233,36.24454411,36.24454411,38.70756158
110+04130,2018,37.588405,34.9610441,33.1581326,35.19660106,35.19660106,37.588405
110+04130,2019,38.1421604,35.47609302,33.64662088,35.71512023,35.71512023,38.1421604
110+04130,2020,32.98833375,30.68250943,29.10023835,30.88923892,30.88923892,32.98833375
110+04143,2017,42.98798768,39.89398347,36.7110076,39.86856299,39.86856299,42.98798768
110+04143,2018,42.51584015,39.45581815,36.30780168,39.43067687,39.43067687,42.51584015
110+04143,2019,42.65178705,39.58198045,36.423898,39.55675878,39.55675878,42.65178705
110+04143,2020,37.0723234,34.4040914,31.6591313,34.38216909,34.38216909,37.0723234
110+04144,2017,39.04383543,36.23370643,33.34276893,36.21061828,36.21061828,39.04383543
110+04144,2018,39.50752153,36.66401932,33.73874893,36.64065697,36.64065697,39.50752153
110+04144,2019,39.85669633,36.98806272,34.03693825,36.9644939,36.9644939,39.85669633
110+04144,2020,35.85839095,33.27753017,30.62245373,33.25632569,33.25632569,35.85839095
110+04145,2017,39.07577338,36.2029554,33.32170203,36.20054529,36.20054529,39.07577338
110+04145,2018,38.87409565,36.01610485,33.1497222,36.01370717,36.01370717,38.87409565
110+04145,2019,39.4237103,36.52531228,33.61840378,36.52288071,36.52288071,39.4237103
110+04145,2020,38.2993427,35.48360725,32.65960403,35.48124503,35.48124503,38.2993427
110+04146,2017,46.6564217,36.10759343,32.8623888,38.19434304,38.19434304,46.6564217
110+04146,2018,45.8082395,35.4511818,32.2649728,37.49999571,37.49999571,45.8082395
110+04146,2019,46.66986458,36.11799693,32.87185728,38.20534779,38.20534779,46.66986458
110+04146,2020,41.34968183,32.00068598,29.1245936,33.85008696,33.85008696,41.34968183
110+04147,2017,38.30515588,36.890517,36.2280644,37.10542736,37.10542736,38.30515588
110+04147,2018,38.76826935,37.33652733,36.66606563,37.55403599,37.55403599,38.76826935
110+04147,2019,39.35418223,37.900802,37.22020745,38.12159791,38.12159791,39.35418223
110+04147,2020,34.5396744,33.26409767,32.66676563,33.45788187,33.45788187,34.5396744
110+04148,2017,48.09593663,39.8459525,40.76282033,42.46505306,42.46505306,48.09593663
110+04148,2018,48.82226085,40.447689,41.37840298,43.10634209,43.10634209,48.82226085
110+04148,2019,49.5479706,41.04891642,41.99346483,43.74708858,43.74708858,49.5479706
110+04148,2020,50.27429483,41.65065292,42.60904748,44.38837761,44.38837761,50.27429483
110+04149,2017,41.77974688,41.23506343,39.86703603,40.9998223,40.9998223,41.77974688
110+04149,2018,41.7428302,41.19862805,39.83180943,40.96359478,40.96359478,41.7428302
110+04149,2019,42.20125805,41.65107937,40.26925008,41.4134649,41.4134649,42.20125805
110+04149,2020,36.7634884,36.28420202,35.08042595,36.07720496,36.07720496,36.7634884
110+04150,2017,47.58206775,45.39270967,43.6109927,45.50917856,45.50917856,47.58206775
110+04150,2018,47.5397475,45.35233667,43.57220438,45.46870196,45.46870196,47.5397475
110+04150,2019,48.06226153,45.85080863,44.05111075,45.96845292,45.96845292,48.06226153
110+04150,2020,41.86939828,39.94289297,38.37508768,40.04537869,40.04537869,41.86939828
110+04151,2017,47.58206775,45.39270967,43.6109927,45.50917856,45.50917856,47.58206775
110+04151,2018,47.5397475,45.35233667,43.57220438,45.46870196,45.46870196,47.5397475
110+04151,2019,48.06226153,45.85080863,44.05111075,45.96845292,45.96845292,48.06226153
110+04151,2020,41.86939828,39.94289297,38.37508768,40.04537869,40.04537869,41.86939828
110+04152,2017,55.36235923,49.66426417,46.92399865,50.50935832,50.50935832,55.36235923
110+04152,2018,55.3132501,49.62020952,46.88237478,50.46455404,50.46455404,55.3132501
110+04152,2019,55.9212679,50.16564792,47.39771818,51.0192737,51.0192737,55.9212679
110+04152,2020,48.71567233,43.70167842,41.29040335,44.44531238,44.44531238,48.71567233
110+04153,2017,64.83831235,48.58877533,44.42607293,52.04215665,52.04215665,64.83831235
110+04153,2018,64.78101683,48.545839,44.38681505,51.99616868,51.99616868,64.78101683
110+04153,2019,65.4921554,49.07875467,44.8740747,52.5669606,52.5669606,65.4921554
110+04153,2020,57.05353568,42.75499047,39.09208065,45.79374344,45.79374344,57.05353568
110+04154,2017,66.05162935,49.49801533,45.25741643,53.01601965,53.01601965,66.05162935
110+04154,2018,65.99365975,49.45457387,45.21769668,52.96949064,52.96949064,65.99365975
110+04154,2019,66.71827963,49.9975922,45.7141935,53.55110326,53.55110326,66.71827963
110+04154,2020,58.12125463,43.55512167,39.82366295,46.65074288,46.65074288,58.12125463
110+04155,2017,72.32126485,57.22847745,51.24116868,59.83004278,59.83004278,72.32126485
110+04155,2018,72.25708458,57.177691,51.19569558,59.77694761,59.77694761,72.25708458
110+04155,2019,73.05106758,57.805977,51.75824958,60.43379504,60.43379504,73.05106758
110+04155,2020,63.63773745,50.3571229,45.0887031,52.6463214,52.6463214,63.63773745
110+04156,2017,82.51877465,56.30480343,63.40423433,65.82291831,65.82291831,82.51877465
110+04156,2018,82.44610625,56.2552198,63.34839875,65.76495276,65.76495276,82.44610625
110+04156,2019,83.35134688,56.8728901,64.04395063,66.4870379,66.4870379,83.35134688
110+04156,2020,72.61164945,49.54490255,55.79198258,57.92028166,57.92028166,72.61164945
110+04157,2017,74.63031935,65.90246377,62.67035523,67.47267721,67.47267721,74.63031935
110+04157,2018,74.56459775,65.84442817,62.6151659,67.41325883,67.41325883,74.56459775
110+04157,2019,75.38330113,66.56738592,63.30266705,68.15344201,68.15344201,75.38330113
110+04157,2020,65.67027455,57.99027697,55.14621228,59.37197208,59.37197208,65.67027455
110+04158,2017,74.63031935,65.90246377,62.67035523,67.47267721,67.47267721,74.63031935
110+04158,2018,74.56459775,65.84442817,62.6151659,67.41325883,67.41325883,74.56459775
110+04158,2019,75.38330113,66.56738592,63.30266705,68.15344201,68.15344201,75.38330113
110+04158,2020,65.67027455,57.99027697,55.14621228,59.37197208,59.37197208,65.67027455
110+04159,2017,83.85325055,74.04679297,70.4152554,75.81105586,75.81105586,83.85325055
110+04159,2018,84.89853695,74.96983537,71.29302828,76.75609093,76.75609093,84.89853695
110+04159,2019,85.94382335,75.89287777,72.17080115,77.70112607,77.70112607,85.94382335
110+04159,2020,65.4681024,57.8117484,54.97643945,59.18918984,59.18918984,65.4681024
110+04163,2017,25.12642875,25.30494208,28.20723073,26.0831636,26.0831636,28.20723073
110+04163,2018,24.76381106,24.93974813,27.80015175,25.70673857,25.70673857,27.80015175
110+04163,2019,25.14184798,25.32047085,28.22454055,26.09916994,26.09916994,28.22454055
110+04163,2020,22.77526241,22.93707163,25.56778315,23.64247229,23.64247229,25.56778315
110+04164,2017,25.12642875,25.30494208,28.20723073,26.0831636,26.0831636,28.20723073
110+04164,2018,24.76381106,24.93974813,27.80015175,25.70673857,25.70673857,27.80015175
